district,no_of_candidates_trained,no_of_training_conducted,of_settlement,own,self_employed_bank,total_settled
Bankura,736.0,33.0,44.0,224.0,96.0,320.0
Birbhum,533.0,22.0,44.0,121.0,111.0,232.0
Cooch Behar,490.0,25.0,49.0,165.0,76.0,241.0
Dakshin Dinajpur,753.0,26.0,49.0,67.0,300.0,367.0
Darjeeling,600.0,23.0,72.0,413.0,18.0,431.0
Hooghly,892.0,37.0,51.0,87.0,367.0,454.0
Howrah,1667.0,62.0,68.0,866.0,267.0,1133.0
Jalpaiguri,566.0,22.0,68.0,319.0,68.0,387.0
Malda,847.0,29.0,28.0,209.0,26.0,235.0
Murshidabad,974.0,36.0,65.0,324.0,313.0,637.0
Nadia,673.0,24.0,59.0,210.0,184.0,394.0
Paschim Medinipur,621.0,24.0,83.0,500.0,18.0,518.0
Purba Bardhaman,608.0,27.0,31.0,167.0,21.0,188.0
Purba Medinipur,837.0,30.0,44.0,348.0,22.0,370.0
Purulia,602.0,25.0,33.0,48.0,150.0,198.0
Uttar Dinajpur,640.0,24.0,45.0,291.0,0.0,291.0
