district,amount_rs_in_lakhs,disbursement_no_of_cases,no_of_cases_sponsored,pending_with_bank_for_disbursement_no_of_cases,sanction_ed,subsidy_involved_in_sanctioned_cases_rs_in_lakhs,subsidy_released_no_of_cases,total_project_cost_involved_in_sanctioned_cases_rs_in_lakhs
Alipurduar,516.2,4180.0,11596.0,509.0,5094.0,3619.04,4860.0,14253.19
Bankura,801.29,14955.0,37419.0,1182.0,18731.0,11066.19,16945.0,42842.44
Birbhum,889.94,18962.0,44181.0,1556.0,23606.0,12835.43,21577.0,49744.96
Cooch Behar,648.15,13530.0,31869.0,1095.0,16370.0,8281.53,14800.0,31017.29
Dakshin Dinajpur,239.61,10886.0,23316.0,411.0,12468.0,5524.81,11919.0,26674.84
Darjeeling,40.5,2932.0,10319.0,46.0,4087.0,2110.4,3287.0,8153.95
Hooghly,516.81,17774.0,47637.0,536.0,20229.0,13633.24,18906.0,49777.07
Howrah,402.16,13852.0,40876.0,590.0,15429.0,7182.49,14965.0,28391.88
Jalpaiguri,998.49,11462.0,24646.0,1436.0,15243.0,10366.98,13798.0,45262.15
Jhargram,30.65,709.0,2588.0,26.0,1046.0,1291.61,735.0,4311.32
Kalimpong,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Kolkata,394.31,8785.0,24033.0,462.0,10669.0,5362.77,10600.0,21277.35
Malda,684.11,14571.0,60907.0,797.0,17442.0,10198.94,16000.0,45196.08
Murshidabad,657.25,21875.0,44710.0,948.0,24406.0,14225.69,23868.0,59833.34
Nadia,322.57,15697.0,44099.0,413.0,18556.0,9997.04,16812.0,39545.68
Paschim Bardhaman,145.2,263.0,710.0,173.0,381.0,364.92,436.0,1248.34
Paschim Medinipur,350.9,17372.0,59976.0,361.0,22564.0,16733.73,18228.0,70026.84
Purba Bardhaman,953.84,23049.0,62307.0,1223.0,26767.0,17946.03,25500.0,72260.04
Purba Medinipur,335.01,19321.0,33057.0,375.0,20541.0,12887.37,20415.0,45308.37
Purulia,582.37,8640.0,27592.0,798.0,12259.0,7142.32,9751.0,30305.41
Uttar Dinajpur,573.88,10264.0,24088.0,746.0,12469.0,7997.49,11254.0,30913.16
