district,a03m_1t_8_rs_in_lac,achievement_as_on_no_31,amt,amt_rs_in_lac,average_rs_lac,of_achievement_no,target_for_2017_18_no
Alipurduar,17648.66,10277.0,112.71,15658.47,1.72,112.23,9157.0
Bankura,46814.52,24866.0,102.4,45718.56,1.88,117.48,21166.0
Birbhum,61041.01,28114.0,111.55,54718.58,2.17,122.28,22991.0
Cooch Behar,44585.42,25429.0,100.99,44147.56,1.75,102.53,24802.0
Dakshin Dinajpur,17550.55,9362.0,75.38,23282.56,1.87,90.07,10394.0
Darjeeling,3107.88,1281.0,120.18,2586.03,2.43,85.34,1501.0
Hooghly,46626.91,25900.0,127.98,36433.68,1.8,125.83,20584.0
Howrah,38854.0,16371.0,112.18,34635.65,2.37,115.8,14137.0
Jalpaiguri,32247.15,17925.0,108.3,29774.9,1.8,114.38,15671.0
Jhargram,13789.04,7776.0,97.4,14156.57,1.77,105.59,7364.0
Kalimpong,1540.47,645.0,98.01,1571.82,2.39,71.83,898.0
Malda,50590.65,27461.0,106.15,47658.1,1.84,118.7,23135.0
Murshidabad,63660.6,32098.0,101.01,63024.0,1.98,101.86,31512.0
Nadia,40186.93,41114.0,100.22,40099.5,0.98,175.33,23450.0
North 24 Parganas,40032.37,21757.0,85.14,47020.4,1.84,90.69,23990.0
Paschim Bardhaman,8062.41,3963.0,84.21,9574.0,2.03,95.33,4157.0
Paschim Medinipur,48180.67,27108.0,111.12,43358.95,1.78,119.99,22592.0
Purba Bardhaman,56458.17,26663.0,100.1,56400.08,2.12,107.6,24779.0
Purba Medinipur,77878.8,36952.0,101.54,76696.4,2.11,106.0,34862.0
Purulia,24607.63,12550.0,81.34,30252.79,1.96,74.26,16901.0
South 24 Parganas,47017.17,27973.0,106.76,44040.5,1.68,111.15,25166.0
Uttar Dinajpur,24894.39,13766.0,83.27,29895.77,1.81,83.34,16517.0
