district,cd_ratio_as_on_march,cd_ratio_march_2018_amount_in_rs_crore
Alipurduar,40.0,4185.85
Bankura,38.0,9603.96
Birbhum,33.0,11852.62
Cooch Behar,61.0,6202.25
Dakshin Dinajpur,52.0,3780.57
Darjeeling,42.0,17825.37
Hooghly,30.0,36479.02
Howrah,30.0,28007.78
Jalpaiguri,41.0,6825.41
Jhargram,,3413.34
Kolkata,89.0,310970.44
Malda,51.0,10018.56
Murshidabad,47.0,11987.76
Nadia,47.0,23337.16
Paschim Bardhaman,41.0,30551.02
Paschim Medinipur,40.0,16659.19
Purba Bardhaman,,24355.57
Purba Medinipur,42.0,20043.61
Purulia,40.0,7451.26
Uttar Dinajpur,56.0,4783.14
