district,cumulative_amount_of_loan_disbursed_under_jlg_as_on,cumulative_no_of_jlgs_credit_l_i_n_k_e_d_a_s_o_n,loan_disbursed_under_jlg_during_f_y_2_0_1_7_1_8_april_to_march,no_of_jlgs_credit_linked_during_f_y_2017_18_april_to_march,no_of_jlgs_target
Bankura,822.15,1006.0,125.84,162.0,7200.0
Birbhum,2085.11,1636.0,302.65,152.0,6000.0
Cooch Behar,4081.55,4826.0,120.51,305.0,2400.0
Dakshin Dinajpur,972.25,874.0,138.22,121.0,1600.0
Darjeeling,916.85,672.0,110.54,128.0,800.0
Hooghly,712.41,4132.0,172.55,545.0,4000.0
Howrah,1464.85,2021.0,281.21,308.0,1600.0
Jalpaiguri,3107.16,3168.0,91.44,148.0,2000.0
Malda,585.2,1408.0,10.08,244.0,5600.0
Murshidabad,7270.18,13765.0,432.11,754.0,7200.0
Nadia,6165.77,6224.0,410.84,741.0,2000.0
Purba Bardhaman,4716.54,3706.0,106.42,148.0,8800.0
Purba Medinipur,4268.52,5408.0,632.16,956.0,6400.0
Purulia,2120.47,2252.0,36.84,172.0,4000.0
Uttar Dinajpur,3866.41,2626.0,44.85,80.0,3200.0
