district,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_no_of_a_cs
Alipurduar,447.3,9269.0,459.51,120680.0,12.0,129961.0
Bankura,345.3,7140.0,361.19,74547.0,776.0,82463.0
Birbhum,804.11,19387.0,814.32,182153.0,946.0,202486.0
Cooch Behar,839.8,26036.0,892.34,205289.0,700440.0,931765.0
Dakshin Dinajpur,330.45,6550.0,340.48,90829.0,329.0,97708.0
Howrah,1195.45,24462.0,1216.85,284653.0,1367.0,310482.0
Jalpaiguri,729.36,16988.0,776.58,205504.0,880.0,223372.0
Kalimpong,5.4,402.0,5.4,719.0,0.0,1121.0
Kolkata,1499.39,19791.0,1551.04,266779.0,6363.0,292933.0
Malda,739.7,18782.0,752.58,152898.0,924.0,172604.0
Murshidabad,1386.26,28129.0,1425.48,394802.0,999.0,423930.0
Nadia,1143.97,23063.0,1184.53,314075.0,1317.0,338455.0
North 24 Parganas,1937.73,39922.0,1984.82,472948.0,2963.0,515833.0
Paschim Medinipur,816.66,17968.0,840.28,155401.0,1838.0,175207.0
Purba Bardhaman,1576.11,27946.0,1610.62,365048.0,3055.0,396049.0
Purba Medinipur,731.96,16321.0,749.19,137262.0,1405.0,154988.0
South 24 Parganas,1324.22,28914.0,1358.87,340763.0,1305.0,370982.0
Uttar Dinajpur,680.24,15286.0,689.21,172545.0,463.0,188294.0
