district,other_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_npa_outstanding_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,weaker_section_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,col_26
Bokaro,110130,306600.10,10245,8321.91,9.30,2.71,146673,470152.37,11607,10696.84,7.91,2.28,304689,959854.88,59520,46985.22,19.53,4.90,118800,111161.02,40665,16896,34.2,15.2,
Chatra,16719,41992.90,1151,645.42,6.88,1.54,22609,63443.44,1340,976.93,5.93,1.54,111413,171719.65,34882,18434.53,31.31,10.74,81425,70795.93,31401,14027,38.6,19.8,
Deoghar,50787,130151.96,3040,2036.04,5.99,1.56,66006,203200.84,3593,2737.67,5.44,1.35,222446,493727.95,34671,21420.98,15.59,4.34,130408,95729.93,25794,10745,19.8,11.2,
Dhanbad,181303,632916.09,14188,13985.48,7.83,2.21,240540,917220.70,16581,18621.18,6.89,2.03,605187,1766999.52,114162,71605.09,18.86,4.05,290350,161543.26,86464,28064,29.8,17.4,
Dumka,30710,75987.31,3226,1312.36,10.50,1.73,37628,98271.67,3487,1713.55,9.27,1.74,157172,254308.95,31113,14214.21,19.80,5.59,106183,75646.39,23952,9053,22.6,12.0,
East Singhbhum,300174,662478.71,13984,13373.26,4.66,2.02,378896,1093010.51,16580,18829.18,4.38,1.72,630230,2306784.54,77545,84425.74,12.30,3.66,168380,183907.80,49774,22244,29.6,12.1,
Garhwa,20360,49072.48,1467,661.14,7.21,1.35,26536,66392.91,1726,898.38,6.50,1.35,138143,190828.67,37293,14558.10,27.00,7.63,102608,86568.25,33054,11256,32.2,13.0,
Giridih,59447,183342.21,7384,2559.87,12.42,1.40,76915,235194.93,8102,3347.74,10.53,1.42,286852,555883.32,94894,39723.27,33.08,7.15,180841,135265.48,81214,27954,44.9,20.7,
Godda,25187,73276.67,2215,1094.82,8.79,1.49,30723,90486.19,2414,1361.03,7.86,1.50,144863,233659.27,37229,17228.46,25.70,7.37,102459,84270.06,32005,12717,31.2,15.1,
Gumla,13872,43127.92,1009,715.85,7.27,1.66,18722,59010.63,1507,1137.96,8.05,1.93,99005,154355.41,40150,18728.58,40.55,12.13,72938,60765.29,35727,13758,49.0,22.6,
Hazaribagh,90135,209015.97,5955,3689.58,6.61,1.77,111980,308672.96,6861,4978.42,6.13,1.61,295099,731758.56,60256,44830.50,20.42,6.13,150118,143368.50,46849,25816,31.2,18.0,
Jamtara,12710,33972.79,673,626.44,5.30,1.84,16192,42898.15,850,942.33,5.25,2.20,84753,110239.97,12217,6948.37,14.41,6.30,63079,48104.87,10236,4485,16.2,9.3,
Khunti,13962,46264.82,1230,673.52,8.81,1.46,16959,57702.95,1370,1092.86,8.08,1.89,62592,116082.73,16703,8729.31,26.69,7.52,42093,33400.57,13140,5641,31.2,16.9,
Koderma,28683,65194.47,3713,1375.38,12.94,2.11,35473,85944.35,3924,1671.87,11.06,1.95,114862,234633.30,29733,19857.85,25.89,8.46,63395,57170.34,22207,10866,35.0,19.0,
Latehar,13566,48204.12,700,537.09,5.16,1.11,17072,61613.05,838,739.86,4.91,1.20,68617,137263.70,17202,7562.37,25.07,5.51,44809,49141.46,15423,5017,34.4,10.2,
Lohardaga,12274,33236.45,865,704.25,7.05,2.12,14934,43649.96,1058,1108.36,7.08,2.54,68508,112584.36,23789,14346.90,34.72,12.74,48896,43150.20,21464,10341,43.9,24.0,
Pakur,27047,43330.89,4089,1484.85,15.12,3.43,29662,53738.42,4238,1614.19,14.29,3.00,109949,147068.87,28773,10932.34,26.17,7.43,71485,63316.12,23748,8445,33.2,13.3,
Palamu,48017,120766.84,3655,2290.59,7.61,1.90,60711,159015.79,4131,2843.61,6.80,1.79,232869,373829.85,59071,28453.76,25.37,7.61,156302,129493.29,50454,19533,32.3,15.1,
Ramgarh,47777,158739.50,3017,4158.95,6.31,2.62,64596,248570.42,3795,6786.70,5.87,2.73,146672,445434.32,34093,26652.47,23.24,5.98,66340,60096.36,25220,10788,38.0,18.0,
Ranchi,391903,1787316.47,19209,46970.57,4.90,2.63,496175,2584097.24,22460,55853.09,4.53,2.16,1566484,4747921.80,103703,236640.68,6.62,4.98,950418,451362.10,64276,33567,6.8,7.4,
Sahibganj,20529,50055.44,2037,979.10,9.92,1.96,26114,65162.33,2343,1364.95,8.97,2.09,117467,169579.09,38510,16523.36,32.78,9.74,82583,70145.85,34090,12190,41.3,17.4,
Seraikela-Kharsawan,39454,141102.97,2595,3631.04,6.58,2.57,54179,200574.83,3079,4454.42,5.68,2.22,239188,531184.41,31186,30935.69,13.04,5.82,164953,94766.88,24961,14157,15.1,14.9,
Simdega,8803,20209.22,985,419.95,11.19,2.08,10875,27865.90,1117,585.22,10.27,2.10,50529,75743.13,13375,7522.56,26.47,9.93,35510,32241.62,10696,4968,30.1,15.4,
West Singhbhum,34363,632448.62,3152,1523.52,9.17,0.24,46036,676757.84,3767,2713.32,8.18,0.40,162392,849928.32,39631,23598.24,24.40,2.78,103071,95044.29,32968,15013,32.0,15.8,
