district,pmegp_outstanding_no,amt,npa_no,amt,npa_pct,mudra_loans_outstanding_no,amt,npa_no,amt,npa_pct,stand_up_india_outstandi_ng_no,amt,npa_no,amt,npa_pct,shg_nrlm_nulm_outstanding_no,amt,npa_no,amt,npa_pct
Bokaro,1040,3549.20,372,946.10,26.66,118162,92712.40,26534,14288.96,15.41,172,2758.20,56,529.71,19.20,14112,39807.53,355,223.77,0.56
Chatra,557,1260.59,208,386.13,30.63,47948,38995.57,11698,5070.00,13.00,59,631.86,13,140.58,22.25,10446,28358.23,369,204.88,0.72
Deoghar,1137,3245.22,390,657.09,20.25,50763,43213.98,7399,5410.22,12.52,156,1921.23,20,297.41,15.48,10216,24144.05,456,303.14,1.26
Dhanbad,1569,4097.91,601,1305.05,31.85,272286,151707.25,56311,20428.41,13.47,287,4211.74,79,764.30,18.15,10893,30331.52,198,134.27,0.44
Dumka,1423,2589.99,428,620.05,23.94,54774,31568.68,10319,4463.43,14.14,75,1158.25,3,0.12,0.01,11380,28546.04,319,239.04,0.84
East Singhbhum,1486,5119.00,430,1006.38,19.66,168860,135529.65,31895,18624.70,13.74,366,4596.83,96,922.63,20.07,14925,45933.46,423,329.80,0.72
Garhwa,447,1218.93,86,151.12,12.40,78416,35992.31,22454,6121.98,17.01,36,332.70,3,3.03,0.91,12145,25255.61,141,77.91,0.31
Giridih,1140,3074.76,336,623.99,20.29,243301,125186.00,54428,17870.37,14.28,108,1526.55,16,83.85,5.49,18275,50227.56,562,397.48,0.79
Godda,1129,2367.65,281,486.28,20.54,80707,41850.95,19059,6906.20,16.50,65,1026.22,9,86.81,8.46,9991,29348.12,251,226.48,0.77
Gumla,906,2167.05,258,565.63,26.10,49527,33383.21,9445,3894.73,11.67,42,452.76,8,56.60,12.50,7868,24201.29,489,432.68,1.79
Hazaribagh,1421,4145.29,515,1113.78,26.87,121660,97463.98,23259,13314.02,13.66,174,1956.53,57,338.88,17.32,16496,49930.59,384,252.93,0.51
Jamtara,653,1055.60,161,161.65,15.31,12399,11978.46,2064,1549.18,12.93,23,274.90,1,0.02,0.01,6749,15512.43,215,335.50,2.16
Khunti,517,997.72,146,234.83,23.54,19544,16170.90,2706,1775.21,10.98,25,257.25,3,8.09,3.15,5331,15114.93,124,151.85,1.00
Koderma,694,1559.65,252,493.05,31.61,68228,54154.29,11209,6071.60,11.21,80,799.59,28,190.50,23.82,7215,24907.76,224,212.10,0.85
Latehar,348,703.70,78,106.29,15.10,28492,16874.84,10296,2897.34,17.17,99,1270.86,1,0.01,0.00,8344,22776.61,234,119.37,0.52
Lohardaga,713,1343.71,251,335.27,24.95,24359,25056.28,4987,3238.63,12.93,31,270.85,4,18.00,6.65,4885,14952.75,299,410.01,2.74
Pakur,893,1533.30,272,507.98,33.13,101746,39036.05,15371,4717.18,12.08,41,778.12,3,13.86,1.78,7919,23687.85,295,249.29,1.05
Palamu,475,1313.55,173,294.90,22.45,117191,59694.47,33626,11786.86,19.75,103,1012.54,6,46.53,4.60,17231,37376.49,386,376.40,1.01
Ramgarh,620,2076.40,198,469.23,22.60,80631,56912.21,17791,8706.67,15.30,112,1112.82,26,209.07,18.79,6681,19440.07,219,244.78,1.26
Ranchi,1920,6312.28,801,2042.63,32.36,205700,187475.95,38474,27558.70,14.70,724,11281.09,202,2668.04,23.65,19937,59706.75,835,1282.64,2.15
Sahibganj,855,1717.80,240,421.84,24.56,83444,36929.50,24536,7065.01,19.13,40,487.52,2,0.70,0.14,9718,25236.70,136,136.22,0.54
Simdega,492,1084.22,171,285.52,26.33,13974,15585.75,1433,1508.15,9.68,25,217.43,5,29.56,13.60,5535,15328.62,150,133.33,0.87
West Singhbhum,670,1843.30,216,381.60,20.70,54660,47026.88,12038,6043.40,12.85,51,570.66,7,29.70,5.20,11747,38219.33,205,188.34,0.49
