district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,14,30.13,169,140.14,108,74
Chatra,15,15.66,174,83.18,103,55
Deoghar,34,57.34,311,203.85,112,87
Dhanbad,57,85.74,391,369.63,300,190
Dumka,13,10.85,55,33.83,32,29
East Singhbhum,29,31.81,190,123.39,123,73
Garhwa,20,73.94,126,139.58,90,62
Giridih,52,152.83,227,309.66,157,104
Godda,21,23.68,191,104.99,87,80
Gumla,11,9.90,226,123.99,186,109
Hazaribagh,89,176.87,680,823.10,406,220
Jamtara,11,7.30,65,28.05,30,24
Khunti,21,18.17,254,95.60,137,111
Koderma,50,34.59,360,155.12,342,105
Latehar,16,24.78,260,108.66,71,55
Lohardaga,34,37.82,511,185.43,417,347
Pakur,46,27.36,168,104.50,37,19
Palamu,48,110.81,213,313.18,87,70
Ramgarh,31,37.16,333,161.22,207,158
Ranchi,206,103.19,913,587.58,209,187
Sahibganj,156,129.07,384,264.31,301,299
Seraikela-Kharsawan,19,26.23,88,70.53,71,58
Simdega,1,7.29,473,62.82,430,356
West Singhbhum,19,19.47,140,172.79,45,43
