district,outstanding_as_of_september_2024_qtr_no,amt,total_disbursment_during_this_current_afy_no,amt,outstanding_at_the_end_of_reporting_quarter_no,amt,npa_at_the_end_of_reporting_quarter_no,amt,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_no",kcc_card_activated_no,col_12
Bokaro,52803,32488,22600,9556,52690,32992,19531,8452,26352,14011,
Chatra,54855,31042,21992,6308,54434,30596,21003,10109,24612,15713,
Deoghar,88791,50817,31900,14653,90012,55439,20920,8616,46253,36848,
Dhanbad,44890,29064,14315,9071,43735,28851,19671,8112,19488,9162,
Dumka,67266,30854,23927,8500,67201,32430,17527,6164,39503,28739,
East Singhbhum,85250,49880,34866,13742,82022,46431,23765,9170,38822,22615,
Garhwa,58695,53287,11678,8956,57546,49188,13672,7158,40013,32083,
Giridih,84088,46650,38192,13638,84510,50470,32982,14763,38091,19960,
Godda,61584,38229,23622,10765,64140,43075,15965,8002,36437,24291,
Gumla,53341,27685,13955,5811,54747,29984,26479,10818,21445,14687,
Hazaribagh,77834,53043,27470,12688,76693,52234,27831,16695,33536,16578,
Jamtara,50238,29515,21016,9266,50720,31168,8760,3334,28299,20897,
Khunti,27954,15356,12319,3848,28120,15373,10029,4049,12131,5591,
Koderma,29950,17697,11081,3078,28915,17101,14270,7433,10862,4984,
Latehar,31420,23883,9300,4426,31039,23626,5830,2770,18861,14283,
Lohardaga,33516,20332,10517,4681,33753,20870,16548,7832,12035,7503,
Pakur,29967,17685,8791,5411,31718,20397,9396,4066,13226,9860,
Palamu,83605,69587,18025,12617,82404,68424,23300,12506,57129,45498,
Ramgarh,26778,18146,12261,3218,26364,15880,10089,4320,10009,5733,
Ranchi,158622,82136,36913,20768,114423,72726,31574,16103,37967,23430,
Sahibganj,41384,28894,14027,7443,43306,30955,11009,6472,19938,13897,
Seraikela-Kharsawan,62925,36046,26330,7782,58080,36349,17473,8391,29781,18535,
Simdega,22485,10671,7984,2325,22756,11439,8527,3635,9238,5812,
West Singhbhum,71360,47077,25714,9635,71834,49733,20863,9886,37228,23214,
