district,outstanding_loans_to_women_a_cs,amount,individual_women_a_cs,amount,loans_disbursed_to_women_a_cs,amount,col_8
Bokaro,90760,155775.95,31292,10422.45,28422,45242.42,
Chatra,32391,34069.49,14791,5060.12,11934,11291.92,
Deoghar,62511,75376.00,26671,9350.55,20287,23490.74,
Dhanbad,296467,273214.76,189115,51563.70,76261,81367.17,
Dumka,52304,42839.85,36240,12620.76,14580,12917.70,
East Singhbhum,181632,354827.95,50928,16775.94,57524,89011.69,
Garhwa,49516,32177.27,30236,11548.61,11166,9344.32,
Giridih,117516,89792.03,57906,17836.37,34203,29687.87,
Godda,50476,40167.55,33732,13297.47,14680,12909.55,
Gumla,26268,36884.51,7031,2647.67,9027,11259.98,
Hazaribagh,94395,125201.84,37047,13316.22,27211,36807.86,
Jamtara,17126,16412.85,9653,3714.26,7365,5519.51,
Khunti,18821,22182.23,8450,2469.60,6500,8003.16,
Koderma,44870,53078.65,13800,4664.55,13705,16388.56,
Latehar,14614,16522.44,8130,3220.47,3991,4407.41,
Lohardaga,19712,27745.28,7020,2189.09,10462,9485.81,
Pakur,45145,29229.66,33808,11860.57,13075,10641.73,
Palamu,85028,63900.34,50113,18265.71,17421,17307.76,
Ramgarh,46587,69964.10,24440,7366.93,13302,20932.94,
Ranchi,211379,621719.74,57502,22324.62,66277,135593.05,
Sahibganj,49127,33684.87,33142,13945.26,13564,10366.15,
Seraikela-Kharsawan,48045,79023.99,16166,5218.37,15940,19658.46,
Simdega,16467,19758.68,4923,1762.12,6780,6236.07,
West Singhbhum,48663,60932.63,17707,5672.57,15237,16730.26,
