district,as_on_30th_september_2025_agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_non_priority_sector_no,amt,total_nps_no,amt,pct_of_total_non_pri_sec_loans_to_total_advances,total_advance_no,amt,col_17
Bokaro,383,109.81,129,2791.67,3780,68550.94,32251,92099.86,110130,306600.10,146673,470152.37,48.98,304689,959854.88,
Chatra,185,211.21,3,21.03,167,2962.16,5535,18256.15,16719,41992.90,22609,63443.44,36.95,111413,171719.65,
Deoghar,131,256.52,70,1571.22,1790,37875.73,13228,33345.40,50787,130151.96,66006,203200.84,41.16,222446,493727.95,
Dhanbad,343,422.92,268,3019.15,6794,95127.30,51832,185735.23,181303,632916.09,240540,917220.70,51.91,605187,1766999.52,
Dumka,91,264.59,11,141.27,304,7385.03,6512,14493.48,30710,75987.31,37628,98271.67,38.64,157172,254308.95,
East Singhbhum,581,238.27,1408,31501.66,11976,235405.58,64757,163386.29,300174,662478.71,378896,1093010.51,47.38,630230,2306784.54,
Garhwa,161,63.60,6,105.18,165,3006.48,5844,14145.18,20360,49072.48,26536,66392.91,34.79,138143,190828.67,
Giridih,152,327.35,23,530.03,935,19782.93,16358,31212.40,59447,183342.21,76915,235194.93,42.31,286852,555883.32,
Godda,217,486.58,8,77.62,284,5465.80,5027,11179.52,25187,73276.67,30723,90486.19,38.73,144863,233659.27,
Gumla,404,451.47,2,30.26,204,5005.30,4240,10395.68,13872,43127.92,18722,59010.63,38.23,99005,154355.41,
Hazaribagh,142,261.70,58,1204.83,2098,39416.78,19547,58773.67,90135,209015.97,111980,308672.96,42.18,295099,731758.56,
Jamtara,52,109.64,9,161.07,194,2757.50,3227,5897.14,12710,33972.79,16192,42898.15,38.91,84753,110239.97,
Khunti,56,27.73,4,88.07,194,4730.97,2743,6591.35,13962,46264.82,16959,57702.95,49.71,62592,116082.73,
Koderma,21,32.75,14,341.43,329,6861.72,6426,13513.99,28683,65194.47,35473,85944.35,36.63,114862,234633.30,
Latehar,43,92.00,6,36.59,117,3299.66,3340,9980.68,13566,48204.12,17072,61613.05,44.89,68617,137263.70,
Lohardaga,41,68.00,4,57.67,188,3974.90,2427,6312.95,12274,33236.45,14934,43649.96,38.77,68508,112584.36,
Pakur,13,46.75,4,92.80,319,5518.51,2279,4749.47,27047,43330.89,29662,53738.42,36.54,109949,147068.87,
Palamu,115,120.69,23,253.25,534,10916.67,12022,26958.34,48017,120766.84,60711,159015.79,42.54,232869,373829.85,
Ramgarh,83,85.36,32,849.43,1451,31325.78,15253,57570.35,47777,158739.50,64596,248570.42,55.80,146672,445434.32,
Ranchi,296,36479.40,961,18633.42,19383,454277.88,83632,287390.08,391903,1787316.47,496175,2584097.24,54.43,1566484,4747921.80,
Sahibganj,227,653.97,9,83.91,224,3330.53,5125,11038.48,20529,50055.44,26114,65162.33,38.43,117467,169579.09,
Seraikela-Kharsawan,34,34.92,84,911.80,1544,28950.58,13063,29574.56,39454,141102.97,54179,200574.83,37.76,239188,531184.41,
Simdega,34,123.94,3,45.59,73,1393.99,1962,6093.16,8803,20209.22,10875,27865.90,36.79,50529,75743.13,
West Singhbhum,120,83.81,69,1351.50,796,15429.51,10688,27444.39,34363,632448.62,46036,676757.84,79.63,162392,849928.32,
