district,export_credit_target_no,amt,achv_no,amt,achv_pct_amt,education_target_no,amt,achv_no,amt,achv_pct_amt,housing_target_no,amt,achv_no,amt,achv_pct_amt,col_17
Bokaro,75,341.26,,,0.00,1856,3747.56,1281.00,1949.15,52.01,845,4549.24,479.00,3801.97,83.57,
Chatra,32,142.65,,,0.00,81,166.51,65.00,104.02,62.47,53,452.51,22.00,112.02,24.75,
Deoghar,50,224.25,,,0.00,580,1249.67,395.00,605.79,48.48,325,1744.44,150.00,1201.84,68.90,
Dhanbad,69,321.00,,,0.00,3097,5503.01,2080.00,2873.70,52.22,2494,17946.20,875.00,9495.99,52.91,
Dumka,40,178.92,,,0.00,86,195.47,66.00,105.24,53.84,222,1565.08,101.00,655.12,41.86,
East Singhbhum,57,260.51,,,0.00,3386,8654.65,2225.00,4279.31,49.45,2132,11647.01,956.00,7694.21,66.06,
Garhwa,50,226.37,,,0.00,133,243.14,70.00,91.43,37.60,94,559.59,32.00,283.30,50.63,
Giridih,63,282.89,3.00,348.50,123.19,438,791.61,311.00,385.29,48.67,202,1130.76,81.00,745.97,65.97,
Godda,36,165.32,,,0.00,198,334.24,107.00,163.55,48.93,256,2539.67,93.00,904.46,35.61,
Gumla,37,169.85,,,0.00,282,465.19,137.00,169.61,36.46,74,492.60,24.00,209.64,42.56,
Hazaribagh,60,271.70,,,0.00,717,1559.08,533.00,860.30,55.18,379,1936.16,232.00,1362.36,70.36,
Jamtara,27,122.39,,,0.00,205,279.16,152.00,158.25,56.69,64,457.42,18.00,106.52,23.29,
Khunti,20,90.66,,,0.00,72,170.55,40.00,50.92,29.85,84,483.11,21.00,120.71,24.99,
Koderma,26,117.86,,,0.00,292,493.44,202.00,276.45,56.02,81,723.17,44.00,346.24,47.88,
Latehar,25,113.33,,,0.00,124,279.10,154.00,205.58,73.66,62,315.29,18.00,128.52,40.76,
Lohardaga,22,99.73,,,0.00,90,179.99,64.00,82.46,45.81,48,134.78,25.00,67.05,49.75,
Pakur,26,117.86,,,0.00,64,101.33,27.00,45.02,44.43,91,239.90,47.00,201.03,83.80,
Palamu,50,226.65,,,0.00,368,759.85,247.00,326.69,42.99,264,1569.57,82.00,504.94,32.17,
Ramgarh,49,217.30,,,0.00,464,1002.84,316.00,553.98,55.24,253,1084.12,68.00,442.72,40.84,
Ranchi,109,493.82,1.00,,0.00,5468,15188.77,3812.00,7524.42,49.54,3394,25427.11,1507.00,13719.98,53.96,
Sahibganj,43,192.51,,,0.00,227,352.35,174.00,227.80,64.65,293,805.92,131.00,411.62,51.08,
Seraikela-Kharsawan,42,192.51,,,0.00,1175,2023.78,808.00,958.92,47.38,451,2300.31,229.00,1519.67,66.06,
Simdega,28,126.93,,,0.00,51,131.60,55.00,65.07,49.45,13,73.78,5.00,21.91,29.70,
West Singhbhum,67,303.72,,,0.00,575,1127.10,389.00,612.01,54.30,264,1822.26,111.00,1218.65,66.88,
