district,as_on_30th_september_2025_export_credit_no,amt,education_no,amt,housing_no,amt,social_infra_no,amt,renewable_energy_no,amt,others_priority_sector_no,amt,total_priority_sector_no,amt,pct_of_total_pri_sec_loans_to_total_advances,col_17
Bokaro,,,3621,14482.45,3760,46438.61,3,6.86,27,38.16,14108,4874.03,158016,489702.50,51.02,
Chatra,,,226,816.56,210,2195.94,1,0.47,3,5.47,2439,699.16,88804,108276.21,63.05,
Deoghar,,,1177,5013.16,1640,15488.65,2,6.38,86,164.37,10421,3185.48,156440,290958.41,58.93,
Dhanbad,1,2640.00,5682,21434.07,8657,104433.28,4,0.89,8,8.22,49097,17177.99,364647,849560.06,48.08,
Dumka,,,251,879.46,820,7332.45,5,1.13,37,39.84,11168,3229.38,119544,156037.27,61.36,
East Singhbhum,,,8104,41203.93,10198,116304.62,15,46.90,30,53.86,32647,11516.30,251334,1213649.40,52.61,
Garhwa,,,272,957.16,309,3213.09,12,65.24,26,42.02,5709,1872.02,111607,124435.76,65.21,
Giridih,26,8507.00,1057,3532.11,956,10570.39,29,20.47,1,1.67,18114,5988.79,209937,320688.39,57.69,
Godda,,,408,1426.91,1106,11958.55,,,64,49.37,7098,2237.96,114140,143173.08,61.27,
Gumla,,,494,1219.96,324,3489.51,1,0.10,1,8.15,3850,1265.19,80283,95344.78,61.77,
Hazaribagh,,,1549,6212.49,2649,26185.78,9,6.02,8,20.74,13234,4654.85,183119,423085.60,57.82,
Jamtara,,,346,761.47,359,2469.82,,,17,6.64,2395,435.54,68561,67343.70,61.09,
Khunti,,,178,639.21,264,2743.74,3,6.20,,,799,177.98,45633,58379.78,50.29,
Koderma,,,587,2105.38,610,5795.29,3,3.68,1,1.71,4928,1642.27,79389,148601.04,63.33,
Latehar,,,277,743.34,201,2295.56,,,11,14.78,2181,525.52,51545,75650.64,55.11,
Lohardaga,,,233,839.01,277,2588.72,,,,,3328,990.51,53574,68934.40,61.23,
Pakur,,,108,340.27,405,3863.75,8,1.30,4,10.08,12402,3528.94,80287,93330.45,63.46,
Palamu,,,832,2887.50,860,8130.84,17,240.99,15,29.73,10095,3545.83,172158,214814.06,57.46,
Ramgarh,,,1117,4109.80,995,10961.81,7,23.72,9,16.68,7784,2625.63,82076,196863.90,44.20,
Ranchi,4,42530.67,12396,64028.14,14243,199827.33,65,74.74,172,412.20,36185,27938.32,1070309,2163826.46,45.57,
Sahibganj,,,526,1292.87,624,4830.06,,,37,29.60,9325,2693.02,91353,104416.76,61.57,
Seraikela-Kharsawan,,,2172,7189.21,1852,18562.49,3,1.40,4,8.19,7797,2662.71,185009,330609.57,62.24,
Simdega,,,168,424.41,148,1476.99,1,0.22,,,2031,662.24,39654,47877.23,63.21,
West Singhbhum,,,1418,5935.46,999,11630.33,1,0.19,6,10.04,6134,1232.49,116356,173170.49,20.37,
