district,details_of_farmer_total_no_of_farmers_a,out_of_a_total_no_of_operational_holdings_b,out_of_a_total_no_of_pm_kissan_beneficiary_farmers_c,out_of_a_total_no_of_sf_mf_farmers_d,out_of_a_total_no_of_tenant_farmers_e,total_no_of_sf_mf_tenant_farmers_d+e_f,benchmark_parameter_coverage_of_farmers_no_of_agri_loan_accounts_g,out_of_g_total_no_of_kcc_a_cs_no_of_a_cs_h,out_of_g_total_no_of_sf_mf_a_cs_no_of_a_cs_i,out_of_g_total_no_of_allied_activities_a_cs_no_of_a_cs_j,out_of_h_total_no_of_kcc_a_cs_total_no_of_pm_kissan_beneficiary_no_of_a_cs_k,no_of_sf_mf_accounts_financed_disbursed_during_the_year_no_of_a_cs_l
Bokaro,87991,87991,55580,87991,0,87991,85934,55580,58919,12960,55580,29946
Chatra,124580,73043,121194,113017,31305,144322,166395,142683,99769,20181,91284,48312
Deoghar,334018,111000,292843,252280,0,252280,116322,89852,89852,15552,89852,16617
Dhanbad,96360,41631,86273,40798,0,40798,0,0,0,0,0,0
Dumka,120752,108973,104479,116504,0,116504,99695,70522,99695,29253,69269,56232
Garhwa,248000,183398,303525,220000,0,220000,92345,60241,81264,8966,59784,16618
Giridih,154499,139049,154499,123874,0,123874,149440,85156,85156,39933,85156,8459
Godda,140000,86782,109736,86400,36750,123150,138100,88500,90950,1300,78750,9250
Gumla,321272,305690,92807,286440,15400,301840,25532,18788,22871,3376,17843,22871
Hazaribagh,232610,129112,224902,115473,1931,117404,137420,88634,119800,21767,70589,1714
Jamtara,125326,37570,112033,75196,2600,77796,63796,48915,29349,5881,41848,17103
Khunti,75000,75000,66851,66505,6489,72994,58150,52797,50292,5724,46341,10469
Koderma,106000,35750,38426,71550,23850,95400,249460,215291,214842,185118,75157,6078
Latehar,77791,75190,57704,60011,0,60011,41242,31541,32993,412,,6183
Lohardaga,99780,52916,49437,42686,0,42686,59084,49833,50107,9973,45534,9187
Pakur,124500,111000,90058,90058,34442,124500,94550,76112,60703,96227,8131,10823
Palamu,293231,274040,226117,253478,0,253478,146970,82548,135947,39376,82548,13346
Ramgarh,69508,69508,54894,0,0,0,34414,26918,0,11998,0,0
Ranchi,106314,100960,86463,70400,13320,83720,130423,49860,31542,1972,44569,12756
Sahibganj,130000,95088,34302,110000,20000,130000,66861,43105,29250,16146,28750,26645
Simdega,128544,84593,31040,64342,0,64342,49432,39552,29908,9006,36330,425
