district,shgs_credit_linkage_target_fy_2025_26_total_no_shgs_for_credit_linkage,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh,achievements_as_on_30092025_total_shgs_repeat_renewals_enhancement_fy_2025_26,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh
Bokaro,10882,27300,37010,8069,13313,32302
Chatra,8171,18850,25550,6977,8121,27795
Deoghar,7270,10830,14710,5563,5580,20113
Dhanbad,8320,14910,20220,5420,8952,24183
Dumka,9013,16590,22510,7535,6572,26201
Garhwa,8924,21260,28830,5599,4173,21999
Giridih,14000,31950,43340,9621,14752,42835
Godda,7251,16790,22760,5995,6761,24570
Gumla,6900,16380,22220,3540,5316,18846
Hazaribagh,12482,32320,43810,9857,14959,42411
Jamtara,4586,7580,10280,3666,3188,11729
Khunti,4180,11850,16060,2749,5236,12579
Koderma,5533,15180,20590,4655,7167,21356
Latehar,5918,15150,20520,4798,4322,19723
Lohardaga,3902,9520,12910,2276,4303,11427
Pakur,6732,18150,24620,5231,4650,24222
Palamu,13069,31180,42260,9648,7720,35944
Ramgarh,6209,17180,23310,4837,8093,19378
Ranchi,16264,56210,76210,9943,11341,48467
Sahibganj,6809,14970,20300,5495,5010,19548
Simdega,4586,11020,14960,3109,3875,14065
West Singhbhum,10300,34360,46600,5625,5456,33423
