district,outstanding_30092025_scheduled_caste_no,amt,scheduled_tribes_no,amt,disbursed_form_01042025_to_30092025_scheduled_caste_no,amt,scheduled_tribes_no,amt,col_10
Bokaro,17276,34815.90,16755,32047.42,3856,8326.77,3127,5216.52,
Chatra,14006,16444.39,7746,11160.68,3310,2659.69,1551,1539.17,
Deoghar,16586,19380.40,14371,14882.53,3467,5005.39,2312,2611.47,
Dhanbad,48655,77737.18,27506,32657.02,6815,18562.97,4053,6315.28,
Dumka,13779,14545.44,22765,33484.42,3313,2985.15,5665,7994.70,
East Singhbhum,18900,34406.50,55743,88834.19,3904,6810.92,13667,15904.78,
Garhwa,20998,19806.16,14644,15310.13,2331,3069.15,1574,1423.01,
Giridih,25081,21862.97,15393,19269.85,3643,4220.92,2932,3448.73,
Godda,11518,13514.48,17992,26484.36,2388,2962.18,4841,6430.26,
Gumla,6672,7267.83,34423,39949.17,1061,1264.18,7350,8021.15,
Hazaribagh,25646,31315.68,14564,27433.84,4092,6706.94,2607,4754.17,
Jamtara,7272,8194.24,13816,14060.87,1901,1889.25,3877,2684.15,
Khunti,5233,6209.12,22688,26644.22,1464,1832.82,7556,5578.66,
Koderma,9007,11034.12,4700,7675.47,1979,2120.69,865,919.67,
Latehar,7750,11938.75,11059,16434.63,2221,2593.89,2361,3345.17,
Lohardaga,3562,4734.37,19010,25014.55,814,924.63,5018,5199.15,
Pakur,4877,6270.91,16712,19071.08,1025,1382.65,4794,3946.57,
Palamu,33381,34213.01,21952,25573.30,3587,5649.90,2132,2749.70,
Ramgarh,9959,18519.52,13877,32211.99,2068,4208.50,3100,5927.42,
Ranchi,195570,103980.19,186892,209892.11,10554,16484.80,19423,36570.88,
Sahibganj,6204,8316.38,21791,21614.04,1291,1726.47,6374,4121.40,
Seraikela-Kharsawan,24629,15827.35,47831,45197.05,2571,2329.35,8817,6836.23,
Simdega,4903,5086.06,15898,17562.84,1028,824.13,4430,3013.82,
West Singhbhum,11340,15043.94,52646,68440.31,2155,3008.99,13775,11980.02,
