district,total_applications_recd_1st,2nd,3rd,applications_returned_1st,2nd,3rd,applications_returned_after_sanction_1st,2nd,3rd,applications_at_pending_stage_1st,2nd,3rd,applications_sanctioned_1st,2nd,3rd,applications_sanctioned_but_pending_for_disb_1st,2nd,3rd,total_applications_disbursed_1st,2nd,3rd,npa_1st,2nd,3rd,disb_pct_out_of_sanction
Bokaro,6254,2914,442,1039,415,141,560,116,24,75,1063,118,5140,1436,183,15,36,,5125,1400,183,352,9,,99.71
Chatra,1027,516,82,215,260,6,98,16,22,25,35,29,787,221,47,9,9,3,778,212,44,115,1,,98.86
Deoghar,6529,2742,490,1042,747,146,485,173,23,193,690,102,5294,1305,242,13,99,2,5281,1206,240,701,54,,99.75
Dhanbad,17120,6159,788,3403,1388,132,1661,503,52,227,2077,246,13490,2694,410,44,190,9,13446,2504,401,831,10,,99.67
Dumka,1315,587,113,4,13,1,8,,3,16,148,45,1295,426,67,2,30,1,1293,396,66,270,10,,99.85
Garhwa,1862,748,84,197,270,16,339,102,10,31,214,26,1634,264,42,7,18,1,1627,246,41,135,2,,99.57
Giridih,4622,1705,343,738,192,29,448,109,1,39,523,207,3845,990,107,5,50,1,3840,940,106,624,25,,99.87
Godda,1677,813,175,215,167,17,98,50,8,24,155,39,1438,491,119,1,13,,1437,478,119,125,2,,99.93
Gumla,828,366,69,64,49,9,54,47,2,11,79,30,753,238,30,,8,,753,230,30,73,1,,100.00
Hazaribagh,4995,1456,177,904,169,13,689,268,26,178,678,86,3913,609,78,14,47,2,3899,562,76,276,2,,99.64
Jamtara,1087,370,53,183,33,1,98,39,2,36,117,28,868,220,24,6,47,,862,173,24,52,3,,99.31
Khunti,702,362,60,74,74,13,69,29,3,15,70,18,613,218,29,,5,2,613,213,27,22,1,,100.00
Koderma,2491,1031,245,338,161,31,215,100,25,30,132,68,2123,738,146,2,7,2,2121,731,144,345,24,,99.91
Latehar,596,297,109,4,,5,28,1,1,29,36,16,563,261,88,1,5,1,562,256,87,44,3,,99.82
Lohardaga,1341,477,118,270,55,26,89,55,4,87,122,41,984,300,51,1,26,,983,274,51,51,,,99.90
Pakur,742,334,57,124,89,6,81,31,6,9,69,23,609,176,28,3,34,2,606,142,26,35,3,1,99.51
Palamu,5623,2903,406,210,306,37,588,125,27,180,1319,131,5233,1278,238,10,66,,5223,1212,238,374,5,,99.81
Ramgarh,2756,1143,211,649,317,31,459,109,19,79,275,77,2028,551,103,9,14,4,2019,537,99,131,2,,99.56
Ranchi,16086,7150,1065,1402,1626,146,2774,1138,85,223,2350,390,14461,3174,529,77,185,11,14384,2989,518,651,14,,99.47
Sahibganj,2430,922,96,266,123,3,190,114,7,42,356,26,2122,443,67,16,31,2,2106,412,65,196,5,,99.25
Seraikela-Kharsawan,3814,1563,221,858,456,29,376,50,6,126,434,85,2830,673,107,7,6,5,2823,667,102,155,3,,99.75
Simdega,845,307,75,164,62,11,26,29,2,21,37,22,660,208,42,4,2,,656,206,42,57,1,,99.39
West Singhbhum,2157,955,178,313,229,28,185,68,6,11,251,46,1833,475,104,6,17,6,1827,458,98,95,2,,99.67
