district,sponsoring_bank,target_fy_2025_26_number_of_training_programmes_to_be_conducted,number_of_trainees_to_be_trained,performance_during_the_financial_year_2025_26_up_to_the_end_of_june_2025_number,pct_of_achievement_to_target_for_no_of_training_programmes_conducted,number_of_trainees_t_r_a_i_n_e_d,pct_of_achievement_to_target_for_no_of_trainees_trained,col_9
Bokaro,BANK OF INDIA,42,1100,16,38.10,492,44.73,
Chatra,BANK OF INDIA,40,1050,18,45.00,552,52.57,
Deoghar,STATE BANK OF INDIA,40,1000,17,42.50,560,56.00,
Dhanbad,BANK OF INDIA,41,1100,16,39.02,465,42.27,
Dumka,INDIAN BANK,40,1000,17,42.50,478,47.80,
East Singhbhum,BANK OF INDIA,42,1050,14,33.33,412,39.24,
Garhwa,STATE BANK OF INDIA,40,1000,16,40.00,501,50.10,
Giridih,BANK OF INDIA,36,1100,19,52.78,499,45.36,
Godda,INDIAN BANK,36,1000,14,38.89,427,42.70,
Gumla,BANK OF INDIA,42,1050,19,45.24,505,48.10,
Hazaribagh,INDIAN BANK,40,1000,15,37.50,452,45.20,
Jamtara,STATE BANK OF INDIA,40,1000,15,37.50,457,45.70,
Khunti,BANK OF INDIA,36,900,17,47.22,502,55.78,
Koderma,BANK OF INDIA,34,850,16,47.06,466,54.82,
Latehar,STATE BANK OF INDIA,40,1000,16,40.00,500,50.00,
Lohardaga,BANK OF INDIA,34,850,15,44.12,386,45.41,
Pakur,STATE BANK OF INDIA,40,1000,17,42.50,462,46.20,
Palamu,STATE BANK OF INDIA,35,1000,17,48.57,521,52.10,
Ramgarh,BANK OF INDIA,37,850,14,37.84,380,44.71,
Ranchi,RUDSETICANARA BANK,37,1000,18,48.65,510,51.00,
Sahibganj,STATE BANK OF INDIA,40,1000,18,45.00,549,54.90,
Simdega,BANK OF INDIA,40,1000,17,42.50,466,46.60,
West Singhbhum,BANK OF INDIA,39,1100,18,46.15,571,51.91,
