district,tfo_amt_disbursed_in_lacs_amount_in_lacs,term_loan_sanctioned_during_the_quarter_sep_2025_amount_in_lacs,cumulative_amount_in_lacs
Bokaro,0.00,5.00,5.00
Chatra,4.70,5.00,6.90
Deoghar,643.90,72.00,658.16
Dhanbad,0.00,25.00,14.19
Dumka,10.00,20.00,10.00
East Singhbhum,629.03,740.00,694.14
Giridih,0.00,1.00,1.00
Godda,18.20,82.00,39.40
Gumla,4.00,4.00,4.00
Hazaribagh,0.00,15.00,30.35
Jamtara,1.16,3.00,1.57
Khunti,200.00,0.00,0.00
Koderma,45.54,77.00,45.54
Lohardaga,12.85,10.00,31.65
Pakur,0.00,3.00,1.20
Palamu,141.15,484.00,221.87
Ramgarh,0.50,6.00,3.00
Ranchi,185.44,557.00,505.89
Seraikela-Kharsawan,39.36,1.00,39.36
