district,total_advance_target_no,amt,total_advance_no,amt,achv_pct_amt,col_6
Bokaro,248087,809197,90777,459266.40,56.76,
Chatra,133106,154931,40082,62777.30,40.52,
Deoghar,263892,439395,73413,233951.04,53.24,
Dhanbad,351709,1295595,155735,841228.39,64.93,
Dumka,176720,237261,50555,103806.89,43.75,
East Singhbhum,523508,2240839,197933,1496403.94,66.78,
Garhwa,195496,197239,31955,66528.65,33.73,
Giridih,284276,508366,91244,264482.27,52.03,
Godda,201724,230306,46828,90403.56,39.25,
Gumla,100151,125247,26031,56222.66,44.89,
Hazaribagh,311164,576184,90901,297577.12,51.65,
Jamtara,123519,116734,33191,42554.88,36.45,
Khunti,64583,90981,21932,47909.44,52.66,
Koderma,92044,186381,36084,97655.17,52.40,
Latehar,107486,128337,22954,52943.43,41.25,
Lohardaga,78124,97000,27337,43837.33,45.19,
Pakur,137866,159632,32496,52641.08,32.98,
Palamu,280552,342538,53095,135974.95,39.70,
Ramgarh,119454,356810,44157,200992.48,56.33,
Ranchi,1809368,5264388,368879,3017805.63,57.32,
Sahibganj,151464,163070,35925,62564.36,38.37,
Seraikela-Kharsawan,284367,563939,67482,288522.18,51.16,
Simdega,46071,60501,16537,27607.25,45.63,
West Singhbhum,164917,573364,49886,356540.49,62.18,
