district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt,col_16
Bokaro,314,1065.62,5426,11419.95,198,431.86,90,1101.35,1,6.50,46,1917.26,6075,15942.55,
Chatra,216,442.02,2126,2613.85,2,0.88,20,64.81,1,3.00,8,22.66,2373,3147.21,
Deoghar,600,568.27,7441,8100.57,42,95.37,45,92.37,1,0.00,7,17.61,8136,8874.18,
Dhanbad,682,1954.07,19682,24925.63,152,174.39,227,1758.63,,,31,1614.01,20774,30426.73,
Dumka,763,1240.16,3150,3101.85,16,8.95,11,2.96,2,7.44,7,74.20,3949,4435.56,
East Singhbhum,646,2597.96,5791,20853.00,337,625.61,1020,12169.75,6,28.09,41,500.13,7841,36774.54,
Garhwa,325,650.81,2668,3149.39,13,3.04,9,158.36,,,3,2.28,3018,3963.89,
Giridih,354,781.95,13639,13907.71,11,4.23,48,334.12,4,12.18,46,509.20,14102,15549.40,
Godda,495,662.91,5596,5655.18,13,0.89,9,4.54,,,3,1.86,6116,6325.37,
Gumla,2796,2685.40,1495,1924.63,2,3.20,27,240.17,1,0.00,3,14.99,4324,4868.38,
Hazaribagh,418,1451.70,6402,12635.79,64,54.38,52,1105.68,6,4.49,104,531.47,7046,15783.52,
Jamtara,413,409.18,3939,3200.60,3,0.00,9,24.72,,,8,132.98,4372,3767.49,
Khunti,2634,2302.12,560,1142.17,41,8.78,35,135.75,3,25.33,6,13.48,3279,3627.63,
Koderma,73,216.57,2943,3637.41,3,2.50,33,185.46,,,17,165.51,3069,4207.45,
Latehar,422,906.18,1557,2620.17,14,0.72,5,10.96,,,1,0.50,1999,3538.52,
Lohardaga,553,739.57,3672,3381.20,2,0.74,8,6.32,1,4.97,6,6.57,4242,4139.36,
Pakur,392,646.40,10040,10991.60,,,38,89.84,1,0.01,6,128.79,10477,11856.63,
Palamu,494,1056.71,3319,5207.32,7,15.41,16,208.12,1,10.50,7,37.22,3844,6535.29,
Ramgarh,159,828.50,3095,6265.50,18,31.52,186,1788.09,,,28,884.88,3486,9798.49,
Ranchi,5950,15915.76,56284,52000.54,466,485.79,312,5052.89,2,12.33,87,5646.49,63101,79113.80,
Sahibganj,661,741.98,5511,7011.61,2,25.50,14,25.97,,,,,6188,7805.06,
Seraikela-Kharsawan,350,611.33,3733,3286.96,17,43.95,50,263.86,,,8,6.78,4158,4212.87,
Simdega,3855,3212.60,597,1101.99,2,2.47,3,15.74,,,8,21.23,4465,4354.03,
West Singhbhum,842,1586.09,1364,3054.08,22,10.85,71,439.11,1,0.00,9,7.61,2309,5097.73,
