district,target_for_fy_2025_26_no,amt,applica_tion_receive_d_during_current_fiscal_no,sanctioned_during_the_year_including_application_received_during_previous_year_n,amount,of_which_girl_student_no,amount,disbursed_during_the_financial_year_2025_26_till_30th_september_2025_no,amount,education_loan_outstanding_as_on_30th_september_2025_no,amount,of_which_girl_student_no,amount,col_15
Bokaro,1942,5189,440,440,3301.17,150,1330.32,1148,2085.98,3745,16632.86,1170,5851.29,
Chatra,82,175,32,32,143.91,8,24.32,64,105.71,256,835.35,40,156.60,
Deoghar,612,1820,136,136,740.94,34,182.55,394,839.45,1262,6356.74,329,2094.53,
Dhanbad,3189,6530,732,732,3478.51,227,1178.80,2083,3354.05,5980,23878.53,1611,7264.27,
Dumka,88,224,33,33,119.07,10,48.54,65,122.08,273,1017.77,80,276.73,
East Singhbhum,4174,20255,999,999,8079.90,406,3320.38,2516,7984.26,9467,68735.77,3449,25429.32,
Garhwa,134,289,21,21,123.96,5,20.29,50,74.35,287,967.42,69,219.90,
Giridih,455,991,127,127,427.05,31,119.30,288,427.10,1134,4062.56,256,1154.15,
Godda,202,358,36,36,129.20,12,83.10,113,203.65,425,1532.30,104,487.41,
Gumla,283,471,77,77,223.45,64,140.60,137,167.83,501,1248.91,328,591.15,
Hazaribagh,755,1967,187,187,1123.29,63,404.65,506,969.39,1665,7462.90,422,2251.94,
Jamtara,208,351,41,41,219.06,29,157.81,156,189.30,356,863.07,208,374.48,
Khunti,78,258,15,15,114.09,4,64.34,35,48.28,180,723.19,66,293.76,
Koderma,296,580,71,71,371.67,13,42.41,184,289.64,611,2382.82,146,657.11,
Latehar,125,282,92,92,226.69,70,127.32,153,221.64,289,762.34,143,292.11,
Lohardaga,91,212,28,28,160.99,14,82.29,62,93.33,244,896.49,94,337.35,
Pakur,69,162,6,6,26.50,2,19.00,29,66.88,114,435.68,44,132.45,
Palamu,375,883,107,107,383.29,34,148.19,251,383.26,864,3077.23,215,863.27,
Ramgarh,486,1348,119,119,658.35,39,181.21,308,601.51,1166,4870.05,359,1779.15,
Ranchi,6064,22252,1507,1507,13308.17,588,5036.92,3955,10182.46,13445,79210.86,4864,26979.31,
Sahibganj,230,381,59,59,151.13,45,87.03,180,260.52,540,1366.90,306,573.14,
Seraikela-Kharsawan,1191,2237,201,201,1024.70,71,305.14,819,1041.82,2261,8160.07,645,2100.57,
Simdega,53,153,29,29,122.26,21,73.57,52,61.56,170,461.17,84,166.84,
West Singhbhum,604,1633,119,119,1009.04,53,377.49,386,786.28,1483,7037.17,650,2531.62,
