district,as_on_30th_september_2025_micro*_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,small_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,medium_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,other_msme_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_msme_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,col_32
Bokaro,45129,186070.20,11231,19559.65,24.89,10.51,1212,82664.51,150,2265.15,12.38,2.74,256,61428.41,10,515.71,3.91,0.84,76,283.86,21,20.65,27.6,7.3,46673,330446.98,11412,22361.15,24.45,6.77,
Chatra,8937,32589.71,2924,4841.28,32.72,14.86,116,4277.83,20,50.01,17.24,1.17,45,518.85,3,3.22,6.67,0.62,3,4.97,1,1.30,33.3,26.2,9101,37391.36,2948,4895.81,32.39,13.09,
Deoghar,24880,105695.70,5191,6633.70,20.86,6.28,603,42335.26,98,605.00,16.25,1.43,99,19627.21,,,0.00,0.00,102,199.57,5,9.45,4.9,4.7,25684,167857.75,5294,7248.15,20.61,4.32,
Dhanbad,67499,306056.59,14881,22865.41,22.05,7.47,2363,179833.03,268,4671.89,11.34,2.60,705,81115.70,11,108.01,1.56,0.13,110,341.42,13,32.93,11.8,9.6,70677,567346.75,15173,27678.23,21.47,4.88,
Dumka,12899,50274.20,3667,3589.74,28.43,7.14,354,16923.44,26,71.28,7.34,0.42,64,5288.89,4,3.00,6.25,0.06,20,216.41,,,0.0,0.0,13337,72702.95,3697,3664.02,27.72,5.04,
East Singhbhum,67144,408131.00,15238,36148.74,22.69,8.86,5690,288153.55,448,7289.80,7.87,2.53,2246,215987.23,60,1804.72,2.67,0.84,78,929.19,18,64.32,23.1,6.9,75158,913200.97,15764,45307.57,20.97,4.96,
Garhwa,7957,27915.78,2460,1933.66,30.92,6.93,134,5105.13,19,32.83,14.18,0.64,3,113.98,,,0.00,0.00,31,92.48,1,6.80,3.2,7.4,8125,33227.36,2480,1973.29,30.52,5.94,
Giridih,34565,114668.21,8822,9746.67,25.52,8.50,453,38822.05,71,1160.61,15.67,2.99,143,8181.89,2,1.42,1.40,0.02,10,53.83,1,1.32,10.0,2.5,35171,161725.98,8896,10910.02,25.29,6.75,
Godda,12919,40529.21,3421,3632.23,26.48,8.96,260,7518.63,69,158.10,26.54,2.10,11,920.27,6,9.97,54.55,1.08,38,22.74,18,7.39,47.4,32.5,13228,48990.85,3514,3807.69,26.56,7.77,
Gumla,7589,26175.68,2773,3803.95,36.54,14.53,141,5270.13,20,32.36,14.18,0.61,20,85.90,,,0.00,0.00,1,0.45,,,0.0,0.0,7751,31532.17,2793,3836.32,36.03,12.17,
Hazaribagh,35114,180114.04,8835,15776.97,25.16,8.76,1023,48297.07,238,1274.38,23.26,2.64,205,17692.91,10,22.67,4.88,0.13,21,73.49,2,0.29,9.5,0.4,36363,246177.51,9085,17074.30,24.98,6.94,
Jamtara,6514,15783.68,1751,1948.59,26.88,12.35,73,1918.69,16,76.25,21.92,3.97,20,28.30,,,0.00,0.00,4,6.43,1,0.07,25.0,1.2,6611,17737.09,1768,2024.92,26.74,11.42,
Khunti,5366,17875.87,1577,2136.44,29.39,11.95,80,3583.49,14,59.28,17.50,1.65,3,79.70,,,0.00,0.00,7,10.48,,,0.0,0.0,5456,21549.54,1591,2195.72,29.16,10.19,
Koderma,16968,70687.95,4565,7892.64,26.90,11.17,398,12946.12,65,750.20,16.33,5.79,72,3799.38,4,,5.56,0.00,6,23.52,2,10.49,33.3,44.6,17444,87456.98,4636,8653.33,26.58,9.89,
Latehar,7116,22189.34,1252,1315.16,17.59,5.93,84,3048.30,22,425.38,26.19,13.95,7,230.51,1,1.05,14.29,0.46,16,94.26,1,2.92,6.3,3.1,7223,25562.41,1276,1744.52,17.67,6.82,
Lohardaga,6958,20627.52,2151,3166.61,30.91,15.35,128,4357.26,46,191.59,35.94,4.40,8,19.60,,,0.00,0.00,5,13.24,5,13.24,100.0,100.0,7099,25017.62,2202,3371.45,31.02,13.48,
Pakur,15517,28348.72,2121,2167.64,13.67,7.65,164,3828.11,16,36.95,9.76,0.97,31,800.12,2,3.00,6.45,0.37,6,12.76,,,0.0,0.0,15718,32989.71,2139,2207.59,13.61,6.69,
Palamu,16676,56501.90,5588,5869.98,33.51,10.39,353,16054.48,68,290.16,19.26,1.81,44,2266.59,3,6.42,6.82,0.28,25,59.58,2,1.09,8.0,1.8,17098,74882.56,5661,6167.64,33.11,8.24,
Ramgarh,20504,85947.53,6600,10718.83,32.19,12.47,490,34653.86,53,929.08,10.82,2.68,194,10725.65,7,2.39,3.61,0.02,17,57.14,,,0.0,0.0,21205,131384.17,6660,11650.31,31.41,8.87,
Ranchi,98952,673283.98,19418,81389.08,19.62,12.09,4804,379561.27,847,29737.09,17.63,7.83,843,210339.78,53,26222.44,6.29,12.47,182,3262.78,18,27.05,9.9,0.8,104781,1266447.80,20336,137375.66,19.41,10.85,
Sahibganj,14095,29965.04,3469,3333.89,24.61,11.13,185,4665.13,16,156.72,8.65,3.36,41,603.47,,,0.00,0.00,2,52.45,,,0.0,0.0,14323,35286.09,3485,3490.62,24.33,9.89,
Seraikela-Kharsawan,23674,90744.57,5722,14272.88,24.17,15.73,928,67130.02,64,1025.74,6.90,1.53,331,52975.68,2,0.44,0.60,0.00,34,425.78,6,9.95,17.6,2.3,24967,211276.05,5794,15309.01,23.21,7.25,
Simdega,4983,14988.97,1622,2098.99,32.55,14.00,71,1276.62,27,59.92,38.03,4.69,6,34.77,1,1.05,16.67,3.03,8,10.18,,,0.0,0.0,5068,16310.53,1650,2159.97,32.56,13.24,
West Singhbhum,17408,48658.36,4987,6285.03,28.65,12.92,429,18422.96,130,781.02,30.30,4.24,91,3801.95,14,1.93,15.38,0.05,29,114.40,4,27.17,13.8,23.8,17957,70997.68,5135,7095.16,28.60,9.99,
