district,as_on_30th_september_2025_renewable_energy_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,other_priority_sector_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_other_priority_sector_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_priority_sector_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,col_26
Bokaro,27,38.16,,,0.00,0.00,14108,4874.03,2817,667.70,19.97,13.70,21519,65840.12,3075,1876.35,14.29,2.85,158016,489702.50,47913,36288.37,30.32,7.41,
Chatra,3,5.47,,,0.00,0.00,2439,699.16,1011,210.52,41.45,30.11,2879,3717.60,1055,365.80,36.64,9.84,88804,108276.21,33542,17457.60,37.77,16.12,
Deoghar,86,164.37,3,0.30,3.49,0.18,10421,3185.48,758,244.69,7.27,7.68,13326,23858.04,882,580.74,6.62,2.43,156440,290958.41,31078,18683.31,19.87,6.42,
Dhanbad,8,8.22,,,0.00,0.00,49097,17177.99,6729,1348.42,13.71,7.85,63449,145694.44,7243,3691.28,11.42,2.53,364647,849560.06,97581,52983.91,26.76,6.24,
Dumka,37,39.84,15,16.09,40.54,40.37,11168,3229.38,1188,329.43,10.64,10.20,12281,11482.26,1245,465.51,10.14,4.05,119544,156037.27,27626,12500.66,23.11,8.01,
East Singhbhum,30,53.86,,,0.00,0.00,32647,11516.30,4695,960.76,14.38,8.34,50994,169125.61,5307,4347.38,10.41,2.57,251334,1213649.40,60965,65596.56,24.26,5.40,
Garhwa,26,42.02,6,1.82,23.08,4.33,5709,1872.02,1822,384.89,31.91,20.56,6328,6149.52,1865,535.18,29.47,8.70,111607,124435.76,35567,13659.71,31.87,10.98,
Giridih,1,1.67,,,0.00,0.00,18114,5988.79,3420,800.71,18.88,13.37,20183,28620.44,3577,1284.57,17.72,4.49,209937,320688.39,86792,36375.53,41.34,11.34,
Godda,64,49.37,34,3.14,53.13,6.37,7098,2237.96,1196,289.71,16.85,12.95,8676,15672.79,1272,432.45,14.66,2.76,114140,143173.08,34815,15867.44,30.50,11.08,
Gumla,1,8.15,,,0.00,0.00,3850,1265.19,467,85.06,12.13,6.72,4670,5982.90,550,342.90,11.78,5.73,80283,95344.78,38643,17590.62,48.13,18.45,
Hazaribagh,8,20.74,,,0.00,0.00,13234,4654.85,2066,505.39,15.61,10.86,17449,37079.88,2322,1716.42,13.31,4.63,183119,423085.60,53395,39852.08,29.16,9.42,
Jamtara,17,6.64,15,2.94,88.24,44.26,2395,435.54,85,13.30,3.55,3.05,3117,3673.48,119,81.66,3.82,2.22,68561,67343.70,11367,6006.04,16.58,8.92,
Khunti,,,,,0.00,0.00,799,177.98,248,62.45,31.04,35.09,1244,3567.14,273,145.50,21.95,4.08,45633,58379.78,15333,7636.45,33.60,13.08,
Koderma,1,1.71,,,0.00,0.00,4928,1642.27,1091,237.23,22.14,14.45,6129,9548.33,1193,619.73,19.46,6.49,79389,148601.04,25809,18185.98,32.51,12.24,
Latehar,11,14.78,3,0.65,27.27,4.38,2181,525.52,1184,225.86,54.29,42.98,2670,3579.21,1221,391.46,45.73,10.94,51545,75650.64,16364,6822.51,31.75,9.02,
Lohardaga,,,,,0.00,0.00,3328,990.51,542,146.20,16.29,14.76,3838,4418.24,599,379.56,15.61,8.59,53574,68934.40,22731,13238.55,42.43,19.20,
Pakur,4,10.08,,,0.00,0.00,12402,3528.94,863,215.51,6.96,6.11,12927,7744.34,886,284.85,6.85,3.68,80287,93330.45,24535,9318.16,30.56,9.98,
Palamu,15,29.73,1,0.01,6.67,0.03,10095,3545.83,2906,815.75,28.79,23.01,11819,14834.89,3040,1273.31,25.72,8.58,172158,214814.06,54940,25610.15,31.91,11.92,
Ramgarh,9,16.68,,,0.00,0.00,7784,2625.63,1785,515.37,22.93,19.63,9912,17737.65,1889,881.27,19.06,4.97,82076,196863.90,30298,19865.76,36.91,10.09,
Ranchi,172,412.20,,,0.00,0.00,36185,27938.32,3386,936.22,9.36,3.35,63065,334811.40,4360,6890.87,6.91,2.06,1070309,2163826.46,81243,180787.59,7.59,8.35,
Sahibganj,37,29.60,8,6.41,21.62,21.67,9325,2693.02,1350,370.61,14.48,13.76,10512,8845.56,1439,537.51,13.69,6.08,91353,104416.76,36167,15158.41,39.59,14.52,
Seraikela-Kharsawan,4,8.19,,,0.00,0.00,7797,2662.71,888,188.67,11.39,7.09,11828,28423.99,1009,580.11,8.53,2.04,185009,330609.57,28107,26481.27,15.19,8.01,
Simdega,,,,,0.00,0.00,2031,662.24,136,51.63,6.70,7.80,2348,2563.86,172,132.09,7.33,5.15,39654,47877.23,12258,6937.34,30.91,14.49,
West Singhbhum,6,10.04,,,0.00,0.00,6134,1232.49,1655,317.93,26.98,25.80,8558,18808.51,1802,874.69,21.06,4.65,116356,173170.49,35864,20884.92,30.82,12.06,
