district,as_on_30th_september_2025_agri_infrastructure_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,ancillary_activities_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_agri_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,col_20
Bokaro,59,277.69,211,41.50,357.63,14.94,8895,31959.54,436,589.78,4.90,1.85,89824,93415.40,33426,12050.88,37.21,12.90,
Chatra,8,15.60,292,63.07,3650.00,404.39,6484,21305.72,157,186.13,2.42,0.87,76824,67167.25,29539,12195.99,38.45,18.16,
Deoghar,100,599.65,36,154.72,36.00,25.80,2190,16947.80,108,139.82,4.93,0.83,117430,99242.62,24902,10854.43,21.21,10.94,
Dhanbad,114,1746.54,1844,519.27,1617.54,29.73,7288,34555.80,462,735.60,6.34,2.13,230521,136518.88,75165,21614.40,32.61,15.83,
Dumka,37,108.36,3,2.50,8.11,2.31,3028,12568.72,141,173.43,4.66,1.38,93926,71852.06,22684,8371.13,24.15,11.65,
East Singhbhum,49,440.10,1491,290.84,3042.86,66.09,9862,45128.45,415,2370.61,4.21,5.25,125182,131322.82,39894,15941.61,31.87,12.14,
Garhwa,200,86.73,331,81.94,165.50,94.47,1195,4162.88,86,125.18,7.20,3.01,97154,85058.87,31222,11151.24,32.14,13.11,
Giridih,84,544.25,438,133.68,521.43,24.56,8790,35422.41,456,538.98,5.19,1.52,154583,130341.97,74319,24180.93,48.08,18.55,
Godda,55,105.93,261,52.85,474.55,49.89,3848,13582.97,138,225.85,3.59,1.66,92236,78509.44,30029,11627.30,32.56,14.81,
Gumla,9,82.88,,,0.00,0.00,4394,14645.78,343,281.41,7.81,1.92,67862,57829.71,35300,13411.41,52.02,23.19,
Hazaribagh,35,137.84,343,76.33,980.00,55.37,8237,46044.49,256,409.32,3.11,0.89,129307,139828.21,41988,21061.35,32.47,15.06,
Jamtara,27,62.75,3,3.46,11.11,5.51,2674,6610.25,105,104.28,3.93,1.58,58833,45933.13,9480,3899.46,16.11,8.49,
Khunti,6,38.64,1399,311.32,23316.67,805.78,2444,9703.40,115,150.77,4.71,1.55,38933,33263.10,13469,5295.23,34.60,15.92,
Koderma,6,90.71,,,0.00,0.00,5304,19981.21,159,159.84,3.00,0.80,55816,51595.74,19980,8912.93,35.80,17.27,
Latehar,5,8.85,1,1.79,20.00,20.22,2062,7765.35,63,53.40,3.06,0.69,41652,46509.03,13867,4686.53,33.29,10.08,
Lohardaga,9,77.29,2,6.00,22.22,7.76,3160,11630.05,255,300.92,8.07,2.59,42637,39498.54,19930,9487.54,46.74,24.02,
Pakur,20,152.25,142,30.40,710.00,19.97,5328,17094.59,187,217.62,3.51,1.27,51642,52596.40,21510,6825.71,41.65,12.98,
Palamu,36,86.15,303,68.55,841.67,79.57,3533,13806.38,310,345.47,8.77,2.50,143241,125096.62,46239,18169.20,32.28,14.52,
Ramgarh,28,76.70,1282,325.91,4578.57,424.91,4363,15716.39,201,329.85,4.61,2.10,50959,47742.08,21749,7334.19,42.68,15.36,
Ranchi,144,5418.45,859,912.19,596.53,16.83,8915,154614.28,765,10307.91,8.58,6.67,902463,562567.26,56547,36521.07,6.27,6.49,
Sahibganj,5,41.73,155,33.54,3100.00,80.37,3330,8822.81,194,226.74,5.83,2.57,66518,60285.11,31243,11130.28,46.97,18.46,
Seraikela-Kharsawan,24,30.71,3,0.59,12.50,1.93,4348,19697.38,403,593.72,9.27,3.01,148214,90909.53,21304,10592.14,14.37,11.65,
Simdega,17,15.01,12,4.17,70.59,27.77,2764,7102.97,125,105.12,4.52,1.48,32238,29002.84,10436,4645.28,32.37,16.02,
West Singhbhum,103,43.36,88,0.63,85.44,1.45,3856,11449.50,179,208.81,4.64,1.82,89841,83364.29,28927,12915.07,32.20,15.49,
