district,social_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,renewable_energy_target_no,amt,achv_no,amt,achv_pct_amt,others_target_no,amt,achv_no,amt,total_priority_sector_target_no,amt,achv_no,amt,achv_pct_amt,col_21
Bokaro,22,38.40,,,0.00,56,95.72,14.00,21.88,22.86,14287,9435.42,3995.00,2066.30,189574,431471.26,55443.00,273838.44,63.47,
Chatra,,,,,,,,3.00,5.58,,2616,1670.43,398.00,273.12,124391,119084.58,35022.00,41354.96,34.73,
Deoghar,15,103.40,2.00,0.08,0.08,57,109.75,69.00,146.69,133.67,15833,8809.83,3518.00,2149.26,238330,325128.31,58119.00,167652.89,51.57,
Dhanbad,36,116.59,1.00,10.20,8.75,16,20.48,5.00,7.82,38.17,33624,20733.84,13366.00,8502.97,253308,703887.22,97995.00,469032.22,66.63,
Dumka,15,10.71,,,0.00,,,3.00,9.37,,16456,9390.03,2634.00,1219.71,162315,179755.69,42256.00,70576.22,39.26,
East Singhbhum,22,4.06,3.00,4.44,109.19,40,85.87,21.00,41.16,47.93,32848,20566.22,7856.00,5393.65,316563,1079490.74,81463.00,760229.29,70.42,
Garhwa,37,486.59,2.00,6.02,1.24,4,3.96,17.00,38.80,979.89,9131,5712.01,1177.00,667.99,184968,156588.48,25922.00,43851.42,28.00,
Giridih,118,71.27,8.00,12.95,18.17,8,15.31,,,0.00,20438,13101.04,4175.00,2491.40,255693,337927.64,73522.00,164700.48,48.74,
Godda,,,,,,8,13.10,29.00,43.02,328.35,10048,6402.69,1523.00,1079.88,189045,174900.36,39670.00,59430.81,33.98,
Gumla,7,1.11,,,0.00,,,,,,5893,2570.35,894.00,659.44,93289,94479.87,22134.00,38161.16,40.39,
Hazaribagh,14,30.97,1.00,0.23,0.73,16,41.63,4.00,11.71,28.13,13619,9034.44,5228.00,1887.70,261714,385573.10,61683.00,188257.36,48.83,
Jamtara,,,,,,4,8.16,,,0.00,3778,1609.28,714.00,294.65,116722,89887.81,29525.00,28670.57,31.90,
Khunti,7,0.89,2.00,0.19,21.44,,,,,,1977,888.92,284.00,65.65,58632,61268.69,18395.00,26742.95,43.65,
Koderma,,,,,,4,8.16,,,0.00,4879,3068.56,1275.00,769.35,78823,131379.98,27963.00,66539.13,50.65,
Latehar,7,2.22,,,0.00,4,5.51,7.00,12.93,234.71,2047,1118.60,276.00,114.04,99506,94390.21,17900.00,28606.02,30.31,
Lohardaga,,,,,,,,,,,4996,2853.26,7383.00,419.02,72258,73897.23,23946.00,30800.92,41.68,
Pakur,52,14.77,,,0.00,,,4.00,10.05,,22869,12075.87,3951.00,2486.15,124411,125589.55,26337.00,37035.76,29.49,
Palamu,111,1873.75,3.00,80.00,4.27,16,36.37,10.00,25.09,69.00,13867,10495.54,1528.00,1072.79,253790,251194.93,38114.00,81664.54,32.51,
Ramgarh,22,171.93,2.00,2.70,1.57,8,31.39,7.00,17.08,54.42,8956,5463.27,1272.00,905.89,93300,192672.60,30001.00,107999.99,56.05,
Ranchi,937,2073.34,18.00,14.24,0.69,256,488.83,120.00,286.07,58.52,34485,33739.97,17066.00,11470.72,1551423,2231312.68,226894.00,1108982.80,49.70,
Sahibganj,,,,,,,,2.00,4.07,,13593,7932.14,2817.00,1671.66,140692,123138.19,30267.00,41751.89,33.91,
Seraikela-Kharsawan,,,3.00,1.49,,12,20.94,1.00,3.15,15.04,7731,7092.47,3231.00,3314.52,259337,348348.46,54853.00,201646.29,57.89,
Simdega,,,,,,,,,,,2459,1146.54,454.00,259.99,42146,45160.09,14202.00,19149.37,42.40,
West Singhbhum,,,,,,8,14.83,5.00,10.51,70.86,9244,5089.29,1786.00,376.20,146414,161706.32,39927.00,67355.84,41.65,
