district,target,total_app_recd,sanc_app,sanc_pct,app_disb,amt_dis_in_cr,disbpct_of_sanc,pending_for_disb,rej_app
Bokaro,226,258,40,17.70,19,8.44,47.50,21,148
Chatra,94,205,9,9.57,5,4.61,55.56,4,115
Deoghar,178,142,21,11.80,17,8.18,80.95,4,48
Dhanbad,234,335,29,12.39,13,8.38,44.83,16,203
Dumka,134,186,44,32.84,32,8.37,72.73,12,77
Garhwa,120,67,6,5.00,4,7.66,66.67,2,35
Giridih,178,413,29,16.29,13,8.05,44.83,16,166
Godda,162,473,71,43.83,51,7.68,71.83,20,279
Gumla,79,119,25,31.65,12,3.46,48.00,13,63
Hazaribagh,223,357,28,12.56,13,22.26,46.43,15,159
Jamtara,92,253,15,16.30,10,2.54,66.67,5,152
Khunti,62,48,9,14.52,3,2.07,33.33,6,23
Koderma,76,147,26,34.21,19,4.53,73.08,7,76
Latehar,104,75,18,17.31,13,7.02,72.22,5,37
Lohardaga,64,95,17,26.56,5,4.16,29.41,12,42
Pakur,72,100,6,8.33,2,1.72,33.33,4,67
Palamu,151,63,5,3.31,5,6.46,100.00,0,39
Ramgarh,126,129,9,7.14,3,3.99,33.33,6,73
Ranchi,341,268,45,13.20,29,27.63,64.44,16,137
Sahibganj,93,336,17,18.28,12,4.53,70.59,5,234
Seraikela-Kharsawan,132,228,25,18.94,7,5.42,28.00,18,147
Simdega,131,70,10,7.63,3,1.90,30.00,7,44
West Singhbhum,135,252,9,6.67,2,2.09,22.22,7,172
