district,as_on_30th_september_2025_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_no,amt,pct_of_msme_to_total_advance_s,col_13
Bokaro,45129,186070.20,1212,82664.51,256,61428.41,76,283.86,46673,330446.98,34.43,
Chatra,8937,32589.71,116,4277.83,45,518.85,3,4.97,9101,37391.36,21.77,
Deoghar,24880,105695.70,603,42335.26,99,19627.21,102,199.57,25684,167857.75,34.00,
Dhanbad,67499,306056.59,2363,179833.03,705,81115.70,110,341.42,70677,567346.75,32.11,
Dumka,12899,50274.20,354,16923.44,64,5288.89,20,216.41,13337,72702.95,28.59,
East Singhbhum,67144,408131.00,5690,288153.55,2246,215987.23,78,929.19,75158,913200.97,39.59,
Garhwa,7957,27915.78,134,5105.13,3,113.98,31,92.48,8125,33227.36,17.41,
Giridih,34565,114668.21,453,38822.05,143,8181.89,10,53.83,35171,161725.98,29.09,
Godda,12919,40529.21,260,7518.63,11,920.27,38,22.74,13228,48990.85,20.97,
Gumla,7589,26175.68,141,5270.13,20,85.90,1,0.45,7751,31532.17,20.43,
Hazaribagh,35114,180114.04,1023,48297.07,205,17692.91,21,73.49,36363,246177.51,33.64,
Jamtara,6514,15783.68,73,1918.69,20,28.30,4,6.43,6611,17737.09,16.09,
Khunti,5366,17875.87,80,3583.49,3,79.70,7,10.48,5456,21549.54,18.56,
Koderma,16968,70687.95,398,12946.12,72,3799.38,6,23.52,17444,87456.98,37.27,
Latehar,7116,22189.34,84,3048.30,7,230.51,16,94.26,7223,25562.41,18.62,
Lohardaga,6958,20627.52,128,4357.26,8,19.60,5,13.24,7099,25017.62,22.22,
Pakur,15517,28348.72,164,3828.11,31,800.12,6,12.76,15718,32989.71,22.43,
Palamu,16676,56501.90,353,16054.48,44,2266.59,25,59.58,17098,74882.56,20.03,
Ramgarh,20504,85947.53,490,34653.86,194,10725.65,17,57.14,21205,131384.17,29.50,
Ranchi,98952,673283.98,4804,379561.27,843,210339.78,182,3262.78,104781,1266447.80,26.67,
Sahibganj,14095,29965.04,185,4665.13,41,603.47,2,52.45,14323,35286.09,20.81,
Seraikela-Kharsawan,23674,90744.57,928,67130.02,331,52975.68,34,425.78,24967,211276.05,39.77,
Simdega,4983,14988.97,71,1276.62,6,34.77,8,10.18,5068,16310.53,21.53,
West Singhbhum,17408,48658.36,429,18422.96,91,3801.95,29,114.40,17957,70997.68,8.35,
