district,number_of_operative_casa,number_of_aadhaar_seeded_casa,pct_of_casa_aadhaar_seeding,number_of_authenticated_casa,pct_casa_authentication,col_7
Bokaro,2598036,1982094,76.29,1746049,67.21,
Chatra,1287838,1055002,81.92,978529,75.98,
Deoghar,2257556,1732010,76.72,1496001,66.27,
Dhanbad,3523489,2785330,79.05,2264479,64.27,
Dumka,1639675,1225345,74.73,1058780,64.57,
East Singhbhum,3598187,2670057,74.21,2370660,65.88,
Garhwa,1660111,1343639,80.94,1113009,67.04,
Giridih,3103842,2518372,81.14,2290294,73.79,
Godda,1612446,1246656,77.31,1015370,62.97,
Gumla,1213437,976853,80.50,985404,81.21,
Hazaribagh,2576998,2014854,78.19,1778100,69.00,
Jamtara,909402,705621,77.59,620785,68.26,
Khunti,653492,500587,76.60,446135,68.27,
Koderma,1066667,883960,82.87,743788,69.73,
Latehar,976954,758199,77.61,652518,66.79,
Lohardaga,676058,541828,80.15,485639,71.83,
Pakur,1133309,906799,80.01,764546,67.46,
Palamu,2656700,2162614,81.40,1684041,63.39,
Ramgarh,1259027,976548,77.56,854693,67.89,
Ranchi,5441991,4223947,77.62,3545689,65.15,
Sahibganj,1508753,1239984,82.19,1069098,70.86,
Seraikela-Kharsawan,1310420,1094104,83.49,978838,74.70,
Simdega,724442,595387,82.19,611400,84.40,
West Singhbhum,1892196,1452064,76.74,1315381,69.52,
