district,as_on_30th_september_2025_export_credit_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,education_priority_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,housing_priority_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,social_infrastructure_priority_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,col_26
Bokaro,,,,,0.00,0.00,3621,14482.45,189,607.95,5.22,4.20,3760,46438.61,68,599.87,1.81,1.29,3,6.86,1,0.83,33.33,12.05,
Chatra,,,,,0.00,0.00,226,816.56,31,98.58,13.72,12.07,210,2195.94,12,56.23,5.71,2.56,1,0.47,1,0.47,100.00,100.00,
Deoghar,,,,,0.00,0.00,1177,5013.16,83,229.35,7.05,4.57,1640,15488.65,38,106.40,2.32,0.69,2,6.38,,,0.00,0.00,
Dhanbad,1,2640.00,,,0.00,0.00,5682,21434.07,289,942.06,5.09,4.40,8657,104433.28,225,1400.80,2.60,1.34,4,0.89,,,0.00,0.00,
Dumka,,,,,0.00,0.00,251,879.46,29,73.97,11.55,8.41,820,7332.45,11,45.94,1.34,0.63,5,1.13,2,0.08,40.00,6.97,
East Singhbhum,,,,,0.00,0.00,8104,41203.93,324,1037.08,4.00,2.52,10198,116304.62,286,2304.39,2.80,1.98,15,46.90,2,45.15,13.33,96.25,
Garhwa,,,,,0.00,0.00,272,957.16,30,110.26,11.03,11.52,309,3213.09,4,30.77,1.29,0.96,12,65.24,3,7.43,25.00,11.40,
Giridih,26,8507.00,,,0.00,0.00,1057,3532.11,137,360.65,12.96,10.21,956,10570.39,20,123.21,2.09,1.17,29,20.47,,,0.00,0.00,
Godda,,,,,0.00,0.00,408,1426.91,36,97.22,8.82,6.81,1106,11958.55,6,42.37,0.54,0.35,,,,,0.00,0.00,
Gumla,,,,,0.00,0.00,494,1219.96,60,133.98,12.15,10.98,324,3489.51,22,123.76,6.79,3.55,1,0.10,1,0.10,100.00,100.00,
Hazaribagh,,,,,0.00,0.00,1549,6212.49,159,588.36,10.26,9.47,2649,26185.78,96,622.37,3.62,2.38,9,6.02,1,0.30,11.11,4.90,
Jamtara,,,,,0.00,0.00,346,761.47,15,47.22,4.34,6.20,359,2469.82,4,18.20,1.11,0.74,,,,,0.00,0.00,
Khunti,,,,,0.00,0.00,178,639.21,17,35.10,9.55,5.49,264,2743.74,8,47.96,3.03,1.75,3,6.20,,,0.00,0.00,
Koderma,,,,,0.00,0.00,587,2105.38,43,116.80,7.33,5.55,610,5795.29,56,262.02,9.18,4.52,3,3.68,3,3.68,100.00,100.00,
Latehar,,,,,0.00,0.00,277,743.34,20,67.96,7.22,9.14,201,2295.56,14,96.99,6.97,4.23,,,,,0.00,0.00,
Lohardaga,,,,,0.00,0.00,233,839.01,47,166.47,20.17,19.84,277,2588.72,10,66.89,3.61,2.58,,,,,0.00,0.00,
Pakur,,,,,0.00,0.00,108,340.27,15,35.47,13.89,10.42,405,3863.75,7,33.68,1.73,0.87,8,1.30,1,0.19,12.50,14.83,
Palamu,,,,,0.00,0.00,832,2887.50,110,367.60,13.22,12.73,860,8130.84,22,89.77,2.56,1.10,17,240.99,1,0.18,5.88,0.07,
Ramgarh,,,,,0.00,0.00,1117,4109.80,77,245.56,6.89,5.97,995,10961.81,26,120.31,2.61,1.10,7,23.72,1,0.03,14.29,0.11,
Ranchi,4,42530.67,,,0.00,0.00,12396,64028.14,663,2182.32,5.35,3.41,14243,199827.33,305,3728.54,2.14,1.87,65,74.74,6,43.79,9.23,58.58,
Sahibganj,,,,,0.00,0.00,526,1292.87,74,138.67,14.07,10.73,624,4830.06,7,21.82,1.12,0.45,,,,,0.00,0.00,
Seraikela-Kharsawan,,,,,0.00,0.00,2172,7189.21,79,229.73,3.64,3.20,1852,18562.49,42,161.71,2.27,0.87,3,1.40,,,0.00,0.00,
Simdega,,,,,0.00,0.00,168,424.41,32,78.88,19.05,18.59,148,1476.99,3,1.36,2.03,0.09,1,0.22,1,0.22,100.00,100.00,
West Singhbhum,,,,,0.00,0.00,1418,5935.46,123,359.72,8.67,6.06,999,11630.33,23,196.84,2.30,1.69,1,0.19,1,0.19,100.00,100.00,
