district,notices_issued_u_s_13_2_of_sarfaesi_act_no_of_a_cs,amount_in_lacs,out_of_which_symbolic_possession_taken_u_s_13_4_no_of_a_cs,amount_in_lacs,request_sent_to_dc_dm_cmm_for_assistance_in_physical_possession_no_of_a_cs,out_of_that_physical_possession_taken_no_of_a_cs,no_of_cases_pending_no_of_a_cs,col_9
Bokaro,178,9356.84,124,8024.57,76,51,49,
Chatra,24,276.67,9,97.70,5,0,7,
Deoghar,38,1793.49,10,1140.88,5,0,13,
Dhanbad,276,8187.04,160,5503.67,103,18,110,
Dumka,12,145.84,5,83.22,3,0,3,
East Singhbhum,392,18193.91,246,14500.32,177,25,188,
Garhwa,19,218.88,13,163.46,11,1,13,
Giridih,51,1771.52,31,544.89,21,20.68,19,
Godda,1,18.21,1,18.21,1,0,1,
Gumla,14,150.14,8,110.27,2,1,5,
Hazaribagh,181,2727.30,101,1549.41,61,3,74,
Jamtara,4,196.95,2,130.52,1,0,1,
Khunti,9,178.97,6,109.58,3,0,5,
Koderma,55,811.21,38,575.24,23,2,18,
Latehar,10,150.32,8,131.01,8,0,8,
Lohardaga,28,391.69,10,250.39,4,0,8,
Pakur,12,140.88,11,132.49,2,0,2,
Palamu,31,562.41,19,454.30,5,2,8,
Ramgarh,79,3119.69,48,2258.03,29,2,33,
Ranchi,522,49213.33,300,29088.03,91,15,150,
Sahibganj,4,49.48,4,49.48,0,1,3,
Simdega,9,49.26,3,40.26,4,0,1,
West Singhbhum,34,808.35,20,581.07,12,0,17,
