district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs
Bokaro,366,14021,7,401,1,5,372,14416
Chatra,42,927,1,18,2,65,39,844
Deoghar,36,2582,1,39,1,10,36,2611
Dhanbad,378,13884,7,518,4,83,381,14318
Dumka,12,524,,,,,12,524
East Singhbhum,1043,62027,10,640,10,179,1043,62488
Garhwa,6,102,1,6,,,5,96
Giridih,36,1727,4,75,,,40,1802
Godda,18,413,4,97,2,20,20,490
Gumla,17,291,11,158,,,11,256
Hazaribagh,218,6296,16,167,2,40,212,6351
Jamtara,5,103,1,13,,,6,117
Khunti,10,424,8,285,,,8,435
Koderma,33,980,5,137,1,29,37,1088
Latehar,,,1,26,,,2,47
Lohardaga,43,1404,11,811,,,43,1404
Pakur,7,258,,,,,6,225
Palamu,22,460,4,64,,,22,460
Ramgarh,140,5986,7,170,3,351,144,5805
Ranchi,1963,181756,821,68627,42,48847,1884,118831
Sahibganj,15,343,1,13,,,16,356
Seraikela-Kharsawan,98,2928,,,,,98,2928
Simdega,4,50,3,56,,,3,76
West Singhbhum,47,1383,2,55,,,49,1438
