district,as_on_30th_september_2025_crop_loan_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_in_pct,npa_amt_in_pct,term_loan_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_in_pct,npa_amt_in_pct,col_14
Bokaro,52690,32991.75,19531,8451.82,37.07,25.62,28180,28186.42,13248,2967.77,47.01,10.53,
Chatra,54434,30595.94,21003,10108.60,38.58,33.04,15898,15249.99,8087,1838.20,50.87,12.05,
Deoghar,90012,55438.98,20920,8616.11,23.24,15.54,25128,26256.19,3838,1943.78,15.27,7.40,
Dhanbad,43735,28851.36,19671,8111.61,44.98,28.12,179384,71365.18,53188,12247.93,29.65,17.16,
Dumka,67201,32430.36,17527,6164.06,26.08,19.01,23660,26744.62,5013,2031.14,21.19,7.59,
East Singhbhum,82022,46431.01,23765,9170.41,28.97,19.75,33249,39323.26,14223,4109.75,42.78,10.45,
Garhwa,57546,49187.96,13672,7157.86,23.76,14.55,38213,31621.30,17133,3786.28,44.84,11.97,
Giridih,84510,50469.90,32982,14762.64,39.03,29.25,61199,43905.41,40443,8745.62,66.08,19.92,
Godda,64140,43075.22,15965,8002.16,24.89,18.58,24193,21745.32,13665,3346.44,56.48,15.39,
Gumla,54747,29983.59,26479,10817.70,48.37,36.08,8712,13117.45,8478,2312.30,97.31,17.63,
Hazaribagh,76693,52234.47,27831,16694.74,36.29,31.96,44342,41411.42,13558,3880.97,30.58,9.37,
Jamtara,50720,31168.09,8760,3333.66,17.27,10.70,5412,8092.03,612,458.07,11.31,5.66,
Khunti,28120,15373.34,10029,4049.42,35.67,26.34,8363,8147.73,1926,783.71,23.03,9.62,
Koderma,28915,17100.76,14270,7432.94,49.35,43.47,21591,14423.07,5551,1320.14,25.71,9.15,
Latehar,31039,23626.07,5830,2769.90,18.78,11.72,8546,15108.75,7973,1861.44,93.30,12.32,
Lohardaga,33753,20869.81,16548,7832.01,49.03,37.53,5715,6921.40,3125,1348.62,54.68,19.48,
Pakur,31718,20396.50,9396,4066.30,29.62,19.94,14576,14953.06,11785,2511.39,80.85,16.80,
Palamu,82404,68423.73,23300,12506.03,28.28,18.28,57268,42780.35,22326,5249.14,38.99,12.27,
Ramgarh,26364,15879.99,10089,4320.43,38.27,27.21,20204,16068.99,10177,2358.00,50.37,14.67,
Ranchi,114423,72726.17,31574,16103.03,27.59,22.14,778981,329808.36,23349,9197.93,3.00,2.79,
Sahibganj,43306,30955.41,11009,6471.90,25.42,20.91,19877,20465.16,19885,4398.09,100.04,21.49,
Seraikela-Kharsawan,58080,36349.08,17473,8391.28,30.08,23.09,85762,34832.36,3425,1606.55,3.99,4.61,
Simdega,22756,11438.91,8527,3635.46,37.47,31.78,6701,10445.95,1772,900.54,26.44,8.62,
West Singhbhum,71834,49732.92,20863,9886.21,29.04,19.88,14048,22138.52,7797,2819.43,55.50,12.74,
