district,rural_no_of_br,deposit,as_on_30th_september_2025_advances,cd_ratio,semi_urban_no_of_br,deposit,advances,cd_ratio,urban_no_of_br,deposit,advances,cd_ratio,total_no_of_br,[amount_in_lakh]_deposit,core_advances,cd_ratio,total_place_of_utili_zation,col_19,aannnneexxuurree_11bb,total_advances,cd_ratio_incl_pou,col_23
Bokaro,77,492423,144456,29.34,57,559307,163472,29.23,92,1551801,651927,42.01,226,2603531,959855,36.87,561617,,,1521472,58.44,
Chatra,46,237190,90523,38.16,23,295662,75518,25.54,0,1447,5678,392.30,69,534300,171720,32.14,22,,,171741,32.14,
Deoghar,73,322432,121523,37.69,25,127726,50153,39.27,49,775471,322052,41.53,147,1225629,493728,40.28,-803,,,492925,40.22,
Dhanbad,76,576112,139098,24.14,60,485999,208544,42.91,184,3539089,1419357,40.11,320,4601200,1767000,38.40,251625,,,2018625,43.87,
Dumka,86,313768,106445,33.92,39,390489,143697,36.80,1,6550,4167,63.61,126,710807,254309,35.78,284,,,254593,35.82,
East Singhbhum,82,363466,145907,40.14,74,565022,211763,37.48,200,3504769,1949115,55.61,356,4433258,2306785,52.03,883283,,,3190067,71.96,
Garhwa,70,188961,83674,44.28,33,241771,105028,43.44,0,2220,2127,95.81,103,432952,190829,44.08,113,,,190942,44.10,
Giridih,136,727558,232336,31.93,9,66323,15899,23.97,40,439331,307649,70.03,185,1233212,555883,45.08,10905,,,566789,45.96,
Godda,73,323937,123929,38.26,30,308248,106920,34.69,0,2150,2810,130.66,103,634335,233659,36.84,115478,,,349137,55.04,
Gumla,53,194717,60362,31.00,31,270375,90204,33.36,0,3174,3790,119.38,84,468266,154355,32.96,15,,,154371,32.97,
Hazaribagh,96,491558,190278,38.71,33,203281,111990,55.09,59,911784,429491,47.10,188,1606623,731759,45.55,5581,,,737339,45.89,
Jamtara,40,162501,53071,32.66,29,210989,55548,26.33,0,,1620,,69,373490,110240,29.52,1,,,110241,29.52,
Khunti,31,127590,52119,40.85,22,148197,60957,41.13,0,5237,3007,57.41,53,281024,116083,41.31,35,,,116118,41.32,
Koderma,33,182399,63744,34.95,35,341103,160939,47.18,0,2973,9951,334.65,68,526475,234633,44.57,83253,,,317886,60.38,
Latehar,27,135729,59593,43.91,29,180358,74263,41.18,0,,3407,,56,316087,137264,43.43,45979,,,183243,57.97,
Lohardaga,24,80510,42258,52.49,22,171124,68032,39.76,0,2508,2294,91.48,46,254142,112584,44.30,500,,,113084,44.50,
Pakur,38,132627,65624,49.48,23,199558,78955,39.57,1,,2490,,62,332185,147069,44.27,5,,,147074,44.27,
Palamu,85,357530,143224,40.06,58,646885,222636,34.42,0,,7970,,143,1004415,373830,37.22,31191,,,405021,40.32,
Ramgarh,47,274130,98729,36.02,70,813069,332759,40.93,1,522,13947,2670.41,118,1087721,445434,40.95,46694,,,492128,45.24,
Ranchi,159,769130,505938,65.78,53,396370,158630,40.02,321,8723686,4083353,46.81,533,9889187,4747922,48.01,143009,,,4890931,49.46,
Sahibganj,41,150882,61751,40.93,36,301158,105210,34.94,0,,2618,,77,452039,169579,37.51,39934,,,209513,46.35,
Seraikela-Kharsawan,83,364999,202153,55.38,19,110575,46028,41.63,26,306956,283003,92.20,128,782530,531184,67.88,3756,,,534941,68.36,
Simdega,31,116227,32539,28.00,22,131678,41306,31.37,0,,1898,,53,247905,75743,30.55,88,,,75832,30.59,
West Singhbhum,73,251454,100489,39.96,63,3577602,703101,19.65,0,113086,46338,40.98,136,3942142,849928,21.56,454609,,,1304537,33.09,
