district,target_no,amt,agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_no,amt,total_nps_no,amt,achv_pct_amt,col_17
Bokaro,58513,377725.44,14,36.04,58,498.36,578,9062.69,4295,24550.54,30389,151280.32,35334,185427.96,49.09,
Chatra,8715,35846.31,15,63.51,3,12.23,20,370.85,638,3998.13,4384,16977.62,5060,21422.34,59.76,
Deoghar,25562,114266.77,48,122.47,32,283.92,283,5983.71,1954,8997.04,12977,50911.01,15294,66298.15,58.02,
Dhanbad,98401,591708.02,25,97.93,202,749.19,1007,19272.25,7095,60339.63,49411,291737.18,57740,372196.17,62.90,
Dumka,14405,57505.69,38,52.21,7,31.72,48,1120.31,972,4438.77,7234,27587.66,8299,33230.67,57.79,
East Singhbhum,206945,1161347.87,25,121.31,556,4911.55,1502,32680.44,12544,51411.22,101843,647050.13,116470,736174.64,63.39,
Garhwa,10528,40650.48,8,36.24,3,15.94,37,558.12,657,3603.28,5328,18463.66,6033,22677.23,55.79,
Giridih,28583,170438.70,59,248.54,13,96.61,160,3647.04,1787,7506.56,15703,88283.05,17722,99781.79,58.54,
Godda,12679,55405.85,61,89.89,7,40.04,56,1257.38,727,2726.58,6307,26858.87,7158,30972.75,55.90,
Gumla,6862,30767.07,16,83.00,1,0.49,32,497.49,396,2362.46,3452,15118.05,3897,18061.50,58.70,
Hazaribagh,49450,190610.57,28,129.11,29,197.26,298,6216.64,2424,15053.86,26439,87722.89,29218,109319.76,57.35,
Jamtara,6797,26846.13,37,39.41,4,27.59,19,232.94,409,1911.08,3197,11673.28,3666,13884.31,51.72,
Khunti,5951,29712.02,,1.36,1,2.24,40,675.95,252,1280.93,3244,19206.01,3537,21166.48,71.24,
Koderma,13221,55000.69,9,35.30,6,52.10,49,855.44,694,3069.45,7363,27103.76,8121,31116.04,56.57,
Latehar,7980,33946.77,25,125.00,6,22.68,21,1198.62,402,2476.14,4600,20514.96,5054,24337.40,71.69,
Lohardaga,5866,23102.93,2,9.81,3,16.31,32,225.69,234,1156.03,3120,11628.58,3391,13036.42,56.43,
Pakur,13455,34042.57,6,12.86,2,21.86,34,409.68,333,1219.13,5784,13941.80,6159,15605.33,45.84,
Palamu,26762,91343.26,32,142.79,16,75.94,68,1245.10,1483,7602.02,13382,45244.56,14981,54310.40,59.46,
Ramgarh,26154,164137.49,9,32.74,14,87.90,260,5104.22,1668,11472.91,12205,76294.73,14156,92992.50,56.66,
Ranchi,257945,3033074.85,45,26978.29,441,3669.82,2831,67391.08,13438,98578.11,125230,1712205.53,141985,1908822.83,62.93,
Sahibganj,10772,39931.86,98,249.93,8,35.05,23,323.55,652,2843.22,4877,17360.72,5658,20812.47,52.12,
Seraikela-Kharsawan,25030,215590.13,1,1.00,42,237.84,231,3884.91,1471,6569.84,10884,76182.30,12629,86875.89,40.30,
Simdega,3925,15341.34,9,42.14,,,11,100.06,233,1151.19,2082,7164.49,2335,8457.88,55.13,
West Singhbhum,18503,411657.19,11,64.40,15,179.45,161,3176.97,1557,6101.86,8215,279661.96,9959,289184.64,70.25,
