district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt,col_16
Bokaro,1777,4042.38,19354,34524.10,793,1200.83,379,2796.65,2,6.23,174,2192.97,22479,44763.15,
Chatra,2420,2762.87,7239,9235.26,7,5.82,79,223.67,5,32.55,26,118.27,9776,12378.44,
Deoghar,5356,4545.29,21643,22022.30,153,299.80,320,327.16,6,42.60,21,72.25,27499,27309.41,
Dhanbad,3020,5650.71,76958,74517.10,869,641.39,812,6412.86,5,46.47,95,2403.34,81759,89671.87,
Dumka,5768,6739.70,10912,12257.18,45,61.95,41,53.15,3,15.76,20,77.17,16789,19204.90,
East Singhbhum,4378,11738.24,22395,66383.51,1062,1791.03,3883,34974.19,28,102.92,107,901.67,31853,115891.56,
Garhwa,6123,6934.80,13381,14550.58,24,10.18,30,46.56,,,22,11.33,19580,21553.45,
Giridih,2520,3222.90,40579,39391.30,82,177.22,152,783.75,4,6.17,126,716.86,43463,44298.18,
Godda,4070,4029.39,16633,18803.14,42,45.42,108,70.51,,,11,5.24,20864,22953.70,
Gumla,10201,10928.10,7949,7601.42,6,7.52,89,439.05,1,0.25,8,23.77,18254,19000.11,
Hazaribagh,3152,6155.30,25644,44280.04,253,253.85,236,1755.30,16,29.26,203,755.05,29504,53228.79,
Jamtara,3461,2581.78,11729,9856.27,8,3.17,20,61.04,,,16,127.72,15234,12629.97,
Khunti,6565,8588.38,2242,3366.98,64,34.85,94,256.13,5,27.70,20,128.50,8990,12402.54,
Koderma,574,1094.52,9573,10910.18,7,10.15,101,712.79,1,0.44,36,250.88,10292,12978.96,
Latehar,3309,5318.70,6070,8864.37,20,9.40,27,47.85,,,15,70.94,9441,14311.26,
Lohardaga,2482,3392.65,14055,13209.02,6,12.14,22,27.36,3,12.36,25,20.39,16593,16673.91,
Pakur,2678,2632.27,32489,26830.75,4,39.40,103,164.24,3,6.98,8,66.37,35285,29740.02,
Palamu,9349,10655.98,18315,22220.85,23,24.07,85,466.65,3,12.11,44,100.06,27819,33479.72,
Ramgarh,995,3095.50,11366,19980.75,96,194.60,609,2984.29,1,0.32,57,886.79,13124,27142.25,
Ranchi,28135,66806.26,286260,168282.90,1749,2037.92,1309,11492.02,8,22.90,321,6895.94,317782,255537.93,
Sahibganj,3642,3540.69,18251,19650.91,56,221.40,111,103.64,1,0.23,13,18.00,22074,23534.87,
Simdega,11929,13168.96,2253,3280.42,4,3.29,34,52.50,,,18,121.51,14238,16626.68,
West Singhbhum,6201,6917.21,7418,11720.64,179,481.30,503,2353.80,13,46.17,59,142.77,14373,21661.88,
