district,credit_sanctioned_outside_jharkhand_and_utilised_inside_jharkhand_outstanding_as,amt,credit_sanctioned_inside_jharkhand_and_utilised_outside_jharkhand_outstanding_as,amt,col_6
Bokaro,50,562904.53,14,1287.87,
Chatra,11,69.96,3,48.40,
Deoghar,28,897.12,105,1700.25,
Dhanbad,97,255559.40,33,3934.13,
Dumka,10,309.78,3,25.68,
East Singhbhum,131,891364.46,28,8081.67,
Garhwa,8,113.39,0,0.00,
Giridih,34,10928.62,1,23.34,
Godda,9,115477.59,1,0.00,
Gumla,2,15.47,0,0.00,
Hazaribagh,29,7974.10,10,2393.31,
Jamtara,1,1.06,0,0.00,
Khunti,21,35.14,0,0.00,
Koderma,10,83260.41,2,7.67,
Latehar,2,45979.10,0,0.00,
Lohardaga,1,500.00,0,0.00,
Pakur,4,41.70,2,36.91,
Palamu,61,31214.77,4,23.98,
Ramgarh,24,46737.76,3,43.58,
Ranchi,207,175182.92,47,32173.65,
Sahibganj,16,39933.78,0,0.00,
Seraikela-Kharsawan,16,3756.31,0,0.00,
Simdega,6,99.94,1,11.47,
West Singhbhum,7,454623.41,1,14.55,
