district,during_the_september_2025_quarter_savings_linked_no,amt,credit_linked_no,amt,during_the_fy_2025_26_savings_linked_no,amt,credit_linked_no,amt,outstanding_at_the_quarter_end_no,amt,outstanding_npa_at_the_quarter_end_no,amt,loans_to_jlgs_disbursement_no,amt,outstanding_no,amt,col_18
Bokaro,187,10.90,356,1288.42,815,663.38,1393,4160.50,14112,39807.53,355,223.77,3431,4307.25,19314,14952.19,
Chatra,239,16.56,225,429.74,577,52.28,489,1102.34,10446,28358.23,369,204.88,1931,2016.98,11691,7325.48,
Deoghar,115,11.61,199,360.67,916,1137.70,1868,5679.09,10216,24144.05,456,303.14,2605,2688.48,11759,7964.36,
Dhanbad,226,20.87,363,1249.31,1045,679.00,2179,6355.34,10893,30331.52,198,134.27,9239,15594.44,57669,52496.77,
Dumka,117,5.34,156,474.73,732,318.17,1483,5220.96,11380,28546.04,319,239.04,4151,3603.42,21168,11214.23,
East Singhbhum,227,35.40,448,2115.96,936,120.73,856,3587.44,14925,45933.46,423,329.80,5394,6472.44,26129,19636.01,
Garhwa,126,9.90,98,213.94,223,30.24,235,494.08,12145,25255.61,141,77.91,5641,6115.54,28633,21275.28,
Giridih,357,24.74,457,1536.39,2072,2004.14,3175,9594.13,18275,50227.56,562,397.48,10663,13559.95,57361,46164.91,
Godda,216,13.36,247,488.03,903,597.64,1416,3917.09,9991,29348.12,251,226.48,4015,5067.81,20345,16586.96,
Gumla,98,10.66,206,991.53,519,594.21,656,2472.91,7868,24201.29,489,432.68,1968,2481.01,6953,7322.96,
Hazaribagh,333,17.69,322,769.19,696,48.74,826,2094.37,16496,49930.59,384,252.93,5412,5650.74,29555,19385.35,
Jamtara,109,0.86,136,240.65,444,397.03,571,1207.24,6749,15512.43,215,335.50,562,219.20,1794,454.11,
Khunti,125,3.01,112,299.24,407,78.87,350,851.44,5331,15114.93,124,151.85,529,949.55,2013,2538.28,
Koderma,130,5.48,220,844.81,269,20.77,467,1727.93,7215,24907.76,224,212.10,2220,2745.96,11724,9010.62,
Latehar,126,8.53,177,417.20,372,382.78,688,1635.55,8344,22776.61,234,119.37,1274,1733.70,6305,6979.34,
Lohardaga,121,30.33,187,999.39,272,64.69,326,1382.92,4885,14952.75,299,410.01,853,718.47,4294,2496.88,
Pakur,187,10.82,238,677.94,525,315.47,1038,3451.31,7919,23687.85,295,249.29,4080,6955.33,14903,17817.30,
Palamu,247,4.83,246,367.31,523,92.96,437,659.76,17231,37376.49,386,376.40,8000,7913.10,46235,27942.64,
Ramgarh,109,6.20,84,213.43,373,671.68,284,908.84,6681,19440.07,219,244.78,2812,4266.54,14842,13675.81,
Ranchi,317,69.09,382,2425.40,1383,536.63,1652,8163.55,19937,59706.75,835,1282.64,5407,7441.08,29411,24313.81,
Sahibganj,417,26.53,164,293.65,1029,335.84,647,1656.24,9718,25236.70,136,136.22,3286,4450.92,15803,14814.36,
Seraikela-Kharsawan,207,19.18,209,938.32,305,41.21,341,1455.17,9055,27503.10,486,471.78,1228,1357.40,5607,4175.05,
Simdega,123,2.15,92,218.20,237,28.80,258,692.74,5535,15328.62,150,133.33,934,482.07,3509,1216.40,
West Singhbhum,127,2.91,206,941.79,270,83.68,453,1659.95,11747,38219.33,205,188.34,1296,1536.61,6834,5786.03,
