district,total_bc,bc_inactive,bc_active_a,male_out_of_a,female,fixed_yes,fixed_no,pos_yes,pos_no,extending_all_basic_banking_facilities,limited_services_[eg_only_aeps_receipt_and_payment]
Bokaro,6057,1430,4627,4141,486,1904,2723,651,3976,2520,2083
Chatra,6244,1312,4932,4440,492,1311,3621,869,4063,2357,2559
Deoghar,6094,828,5266,4892,374,2424,2842,338,4928,2791,2421
Dhanbad,6309,1370,4939,4437,502,1648,3291,756,4183,2767,2104
Dumka,4603,937,3666,3345,321,1805,1861,597,3069,2416,1225
East Singhbhum,4680,991,3689,3226,463,1814,1875,571,3118,2340,1285
Garhwa,10011,2883,7128,6627,501,1935,5193,1323,5805,3298,3724
Giridih,12964,3253,9711,8789,922,4668,5043,1629,8082,6359,3306
Godda,7748,2421,5327,4880,447,1665,3662,1496,3831,3361,1929
Gumla,3991,759,3232,2761,471,1314,1918,611,2621,1909,1293
Hazaribagh,6433,1585,4848,4205,643,1960,2888,817,4031,3026,1783
Jamtara,2651,377,2274,2133,141,1046,1228,213,2061,1317,935
Khunti,2041,383,1658,1341,317,835,823,324,1334,1097,559
Koderma,2770,624,2146,1912,234,776,1370,268,1878,1160,973
Latehar,4982,1225,3757,3490,267,1113,2644,675,3082,1745,1987
Lohardaga,4512,374,4138,3875,263,921,3217,258,3880,1105,1137
Pakur,3432,936,2496,2328,168,916,1580,603,1893,1579,911
Palamu,9120,2256,6864,6239,625,3318,3546,1216,5648,4383,2413
Ramgarh,3561,690,2871,2430,441,1425,1446,476,2395,1993,855
Ranchi,7822,1565,6257,5481,776,3086,3171,961,5296,3944,2274
Sahibganj,4535,1391,3144,2896,248,1349,1795,861,2283,2268,836
Seraikela-Kharsawan,3005,654,2351,2101,250,900,1451,379,1972,1277,1030
Simdega,2760,465,2295,1978,317,922,1373,462,1833,1378,906
West Singhbhum,5147,1315,3832,3291,541,1580,2252,1060,2772,2625,1191
