district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,12,9.74,88,74.38,52,48
Chatra,10,9.95,30,36.78,25,21
Deoghar,5,4.04,25,11.27,11,11
Dhanbad,5,8.42,111,55.70,79,74
Dumka,8,1.24,37,16.18,11,10
East Singhbhum,3,12.70,82,46.68,36,30
Garhwa,9,9.05,12,8.68,9,9
Giridih,11,8.46,101,45.49,92,82
Godda,9,6.06,28,18.14,19,19
Gumla,26,17.68,50,30.34,42,16
Hazaribagh,28,36.29,158,108.68,119,103
Jamtara,5,2.77,7,3.80,3,3
Khunti,4,4.62,35,22.64,20,17
Koderma,7,8.51,82,76.93,55,30
Latehar,4,4.11,19,25.26,7,6
Lohardaga,3,3.97,71,74.29,49,44
Pakur,3,7.76,38,24.98,5,3
Palamu,7,7.88,20,17.36,3,2
Ramgarh,13,13.91,84,52.21,79,61
Ranchi,7,11.93,83,45.81,54,51
Sahibganj,30,23.47,83,60.05,61,58
Seraikela-Kharsawan,25,37.67,336,284.67,154,130
Simdega,1,1.93,61,45.37,21,17
West Singhbhum,12,12.11,109,83.18,9,8
