district,female_general_a_cs,sanc_amt_in_lakhs,minority_community_a_cs,sanc_amt_in_lakhs,obc_a_cs,sanc_amt_in_lakhs,sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,male_sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,female+_male_total_a_cs,sanc_amt_in_lakhs,npa_total_a_cs,sanc_amt_in_lakhs
Bokaro,221,4746,5,82,63,1531,21,503,310,6862,44,972,44,972,354,7834,20,430
Chatra,35,680,1,20,22,465,3,41,61,1206,6,170,6,170,67,1376,2,21
Deoghar,158,3592,0,0,33,698,14,204,205,4494,22,291,22,291,227,4785,32,582
Dhanbad,351,8136,10,166,71,1105,31,589,463,9996,62,1143,62,1143,525,11139,19,391
Dumka,54,1141,1,56,23,476,11,231,89,1904,16,357,16,357,105,2261,1,12
Garhwa,21,365,0,0,15,198,6,100,42,663,13,229,13,229,55,891,0,0
Giridih,88,1899,2,39,55,986,12,169,157,3092,16,243,16,243,173,3335,4,42
Godda,62,1277,1,19,24,518,5,100,92,1914,16,290,16,290,108,2204,7,184
Gumla,20,371,0,0,12,196,7,185,39,752,10,209,10,209,49,961,1,15
Hazaribagh,154,2755,7,144,86,1551,10,160,257,4609,33,628,33,628,290,5237,13,200
Jamtara,27,865,0,0,7,80,2,34,36,979,3,45,3,45,39,1024,0,0
Khunti,20,454,0,0,1,15,2,58,23,526,6,122,6,122,29,648,0,0
Koderma,45,683,0,0,22,340,3,46,70,1069,18,310,18,310,88,1379,1,25
Latehar,41,686,0,0,28,493,6,106,75,1285,14,261,14,261,89,1546,2,31
Lohardaga,16,273,0,0,9,144,6,146,31,563,14,197,14,197,45,760,1,11
Pakur,25,667,1,15,7,181,5,176,38,1039,5,169,5,169,43,1208,0,0
Palamu,65,1409,1,45,38,646,12,160,116,2260,24,398,24,398,140,2657,5,91
Ramgarh,96,1763,0,0,26,485,9,103,131,2351,14,203,14,203,145,2554,4,48
Ranchi,719,16915,14,272,108,2242,73,1422,914,20851,126,2456,126,2456,1040,23307,70,1880
Sahibganj,26,569,1,10,15,233,4,79,46,891,3,35,3,35,49,926,1,10
Seraikela-Kharsawan,110,2191,0,0,11,199,5,70,126,2459,16,258,16,258,142,2717,9,140
Simdega,10,138,0,0,5,64,4,60,19,261,9,185,9,185,28,447,1,15
West Singhbhum,202,5076,1,11,24,436,21,393,248,5915,42,804,42,804,290,6719,20,443
