district,branches_as_on_30092025_rural,semi_urban,urban,total,atms_as_on_30092025_rural,semi_urban,urban,total,as_on_30062025_branch,atms,difference_branch,atms
Bokaro,77,57,92,226,32,53,153,238,226,227,0,11
Chatra,46,23,0,69,13,21,0,34,69,35,0,-1
Deoghar,73,25,49,147,11,18,99,128,146,122,1,6
Dhanbad,76,60,184,320,37,54,297,388,319,385,1,3
Dumka,86,39,1,126,25,60,3,88,126,80,0,8
East Singhbhum,82,74,200,356,27,85,382,494,354,494,2,0
Garhwa,70,33,0,103,11,46,1,58,102,54,1,4
Giridih,136,9,40,185,48,12,72,132,185,135,0,-3
Godda,73,30,0,103,22,45,1,68,103,65,0,3
Gumla,53,31,0,84,7,36,4,47,86,42,-2,5
Hazaribagh,96,33,59,188,48,44,112,204,184,191,4,13
Jamtara,40,29,0,69,8,34,3,45,69,44,0,1
Khunti,31,22,0,53,7,33,1,41,53,39,0,2
Koderma,33,35,0,68,10,43,0,53,67,54,1,-1
Latehar,27,29,0,56,11,31,0,42,56,41,0,1
Lohardaga,24,22,0,46,5,27,1,33,46,32,0,1
Pakur,38,23,1,62,13,25,0,38,62,40,0,-2
Palamu,85,58,0,143,18,93,1,112,143,104,0,8
Ramgarh,47,70,1,118,28,96,7,131,118,125,0,6
Ranchi,159,53,321,533,85,52,576,713,527,684,6,29
Sahibganj,41,36,0,77,11,32,3,46,77,44,0,2
Seraikela-Kharsawan,83,19,26,128,26,20,35,81,129,79,-1,2
Simdega,31,22,0,53,4,16,4,24,53,23,0,1
West Singhbhum,73,63,0,136,23,66,11,100,136,103,0,-3
