district,as_on_30th_september_2025_loans_to_small_and_marginal_farmers_no,amt,loans_to_sc_st_no,amt,loans_to_shgs_no,amt,loans_to_minority_communities_no,amt,od_under_pmjdy_no,amt,beneficiaries_of_dri_scheme_no,amt,loans_upto_₹_1_lakh_to_women_beneficiaries_no,amt,other_loans_to_weaker_sections_no,amt,total_advances_to_weaker_sections_no,amt,pct_of_loans_to_weaker_sections_to_total_amt,col_21
Bokaro,79871,71954.94,15121,19168.98,4101,9913.86,9168,18615.57,2101,1.42,299,28.94,31292,10422.45,8478,10429.73,118800,111161.02,11.58,
Chatra,71564,61562.77,13059,12669.65,4041,10296.66,6046,6906.35,228,2.66,7,0.59,14791,5060.12,1679,5259.78,81425,70795.93,41.23,
Deoghar,111013,79515.50,21751,18224.54,6260,13386.51,17244,18144.05,596,1.78,38,20.64,26671,9350.55,4655,5398.94,130408,95729.93,19.39,
Dhanbad,201753,98435.41,52917,26973.74,2865,6655.56,57731,43034.35,3830,3.55,414,107.69,189115,51563.70,13009,13320.30,290350,161543.26,9.14,
Dumka,91025,64416.89,25909,23245.15,8027,17846.62,13103,12769.30,825,0.86,20,1.81,36240,12620.76,4110,8222.31,106183,75646.39,29.75,
East Singhbhum,108590,97033.65,34126,35406.98,5742,16432.63,16615,59372.69,1610,5.88,582,68.21,50928,16775.94,6099,12444.76,168380,183907.80,7.97,
Garhwa,91550,78141.31,30513,25916.82,10469,20751.63,15498,16468.01,193,0.09,61,4.95,30236,11548.61,2421,3420.08,102608,86568.25,45.36,
Giridih,143949,109534.85,27205,18930.48,6962,17727.77,21718,21398.27,740,1.18,95,12.43,57906,17836.37,5468,7533.66,180841,135265.48,24.33,
Godda,86004,73325.51,21862,19271.12,5186,13933.27,14504,13468.70,725,0.28,30,2.71,33732,13297.47,5999,12318.63,102459,84270.06,36.07,
Gumla,65935,53559.85,11976,11776.67,3247,10097.42,7153,7269.97,175,2.26,58,5.54,7031,2647.67,879,1131.90,72938,60765.29,39.37,
Hazaribagh,118644,109022.84,22811,24185.25,7398,19187.24,15481,27721.36,1453,3.33,70,36.93,37047,13316.22,6789,12038.67,150118,143368.50,19.59,
Jamtara,57147,43114.65,15463,11815.37,3059,6174.57,9803,7874.56,552,0.39,37,4.95,9653,3714.26,2293,4426.25,63079,48104.87,43.64,
Khunti,37635,27949.30,12509,9308.89,2182,5591.53,2265,3705.49,728,0.95,7,4.01,8450,2469.60,3310,2712.26,42093,33400.57,28.77,
Koderma,51085,45662.93,8843,9022.82,1488,4200.21,5645,6794.26,246,2.63,29,35.61,13800,4664.55,1929,4348.56,63395,57170.34,24.37,
Latehar,40019,43911.03,13072,14542.31,4945,13129.44,7026,8814.48,235,1.93,21,2.18,8130,3220.47,1734,5695.48,44809,49141.46,35.80,
Lohardaga,41230,35757.28,6683,6533.12,1662,4625.33,5062,5977.10,243,0.27,40,15.50,7020,2189.09,547,448.41,48896,43150.20,38.33,
Pakur,49941,50864.60,16862,16070.71,3633,9187.06,12995,14593.50,261,0.31,7,4.59,33808,11860.57,6314,15403.70,71485,63316.12,43.05,
Palamu,135731,118370.18,46282,41289.60,12731,25028.24,21231,23908.56,171,0.72,55,4.34,50113,18265.71,4652,11595.51,156302,129493.29,34.64,
Ramgarh,44386,36951.86,13020,13028.61,2764,6775.31,5526,8913.92,1702,2.82,125,40.54,24440,7366.93,5236,4160.24,66340,60096.36,13.49,
Ranchi,870343,344792.81,315835,130560.61,12265,34237.15,276741,129837.45,8993,12.23,522,70.55,57502,22324.62,20741,34240.83,950418,451362.10,9.51,
Sahibganj,62038,55237.97,23497,20258.69,6384,14724.18,12005,14624.61,588,0.40,14,1.22,33142,13945.26,4414,7696.51,82583,70145.85,41.36,
Seraikela-Kharsawan,143493,75866.19,51726,26657.08,4150,12515.85,19222,10951.82,2457,1.16,273,28.38,16166,5218.37,1519,1809.92,164953,94766.88,17.84,
Simdega,30989,27420.22,7379,6378.50,2910,8189.21,4226,4495.62,831,0.15,22,1.51,4923,1762.12,276,560.10,35510,32241.62,42.57,
West Singhbhum,82764,68427.69,28368,27807.16,8203,27130.16,10237,14161.05,5259,3.90,313,23.18,17707,5672.57,1145,1744.04,103071,95044.29,11.18,
