district,as_on_30th_september_2025_farm_credit_no,amt,out_of_farm_credit_total_crop_loans_no,amt,out_of_farm_credit_total_investment_credit_no,amt,out_of_farm_credit_total_allied_activities_no,amt,agri_infrastructure_no,amt,ancillary_activities_no,amt,total_agri_no,amt,pct_of_agri_adv_to_total_advance,col_17
Bokaro,80870,61178.17,52690,32991.75,28180,28186.42,17908,15365.42,59,277.69,8895,31959.54,89824,93415.40,9.73,
Chatra,70332,45845.93,54434,30595.94,15898,15249.99,11628,11966.29,8,15.60,6484,21305.72,76824,67167.25,39.11,
Deoghar,115140,81695.17,90012,55438.98,25128,26256.19,14538,17872.68,100,599.65,2190,16947.80,117430,99242.62,20.10,
Dhanbad,223119,100216.54,43735,28851.36,179384,71365.18,83396,35605.87,114,1746.54,7288,34555.80,230521,136518.88,7.73,
Dumka,90861,59174.98,67201,32430.36,23660,26744.62,16845,21785.25,37,108.36,3028,12568.72,93926,71852.06,28.25,
East Singhbhum,115271,85754.27,82022,46431.01,33249,39323.26,19301,22404.76,49,440.10,9862,45128.45,125182,131322.82,5.69,
Garhwa,95759,80809.26,57546,49187.96,38213,31621.30,20954,24770.64,200,86.73,1195,4162.88,97154,85058.87,44.57,
Giridih,145709,94375.31,84510,50469.90,61199,43905.41,36667,27144.47,84,544.25,8790,35422.41,154583,130341.97,23.45,
Godda,88333,64820.54,64140,43075.22,24193,21745.32,18777,17394.40,55,105.93,3848,13582.97,92236,78509.44,33.60,
Gumla,63459,43101.04,54747,29983.59,8712,13117.45,4538,9609.66,9,82.88,4394,14645.78,67862,57829.71,37.47,
Hazaribagh,121035,93645.89,76693,52234.47,44342,41411.42,27807,27693.38,35,137.84,8237,46044.49,129307,139828.21,19.11,
Jamtara,56132,39260.13,50720,31168.09,5412,8092.03,4216,6762.42,27,62.75,2674,6610.25,58833,45933.13,41.67,
Khunti,36483,23521.07,28120,15373.34,8363,8147.73,6605,6251.66,6,38.64,2444,9703.40,38933,33263.10,28.65,
Koderma,50506,31523.82,28915,17100.76,21591,14423.07,6818,6445.32,6,90.71,5304,19981.21,55816,51595.74,21.99,
Latehar,39585,38734.82,31039,23626.07,8546,15108.75,5651,12163.58,5,8.85,2062,7765.35,41652,46509.03,33.88,
Lohardaga,39468,27791.21,33753,20869.81,5715,6921.40,3282,4558.89,9,77.29,3160,11630.05,42637,39498.54,35.08,
Pakur,46294,35349.56,31718,20396.50,14576,14953.06,13170,13517.46,20,152.25,5328,17094.59,51642,52596.40,35.76,
Palamu,139672,111204.08,82404,68423.73,57268,42780.35,36503,33048.66,36,86.15,3533,13806.38,143241,125096.62,33.46,
Ramgarh,46568,31948.99,26364,15879.99,20204,16068.99,15467,9302.88,28,76.70,4363,15716.39,50959,47742.08,10.72,
Ranchi,893404,402534.53,114423,72726.17,778981,329808.36,525922,239020.65,144,5418.45,8915,154614.28,902463,562567.26,11.85,
Sahibganj,63183,51420.57,43306,30955.41,19877,20465.16,15307,17165.85,5,41.73,3330,8822.81,66518,60285.11,35.55,
Seraikela-Kharsawan,143842,71181.44,58080,36349.08,85762,34832.36,46387,19683.09,24,30.71,4348,19697.38,148214,90909.53,17.11,
Simdega,29457,21884.86,22756,11438.91,6701,10445.95,3879,7845.69,17,15.01,2764,7102.97,32238,29002.84,38.29,
West Singhbhum,85882,71871.44,71834,49732.92,14048,22138.52,8682,16742.49,103,43.36,3856,11449.50,89841,83364.29,9.81,
