district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs,col_10
Bokaro,9163,28000.94,1462,3408.02,104,148.68,10520,31257.56,
Chatra,944,914.78,20,34.53,108,106.55,855,824.75,
Deoghar,3871,7182.45,27,145.81,133,101.90,3767,7226.36,
Dhanbad,5719,10602.21,113,451.19,175,642.06,5657,10411.34,
Dumka,636,782.19,19,2.32,19,1.89,256,419.62,
East Singhbhum,2657,9194.16,202,837.22,35,69.33,2824,9962.05,
Garhwa,358,240.00,2,7.25,0,0.00,359,241.50,
Giridih,9662,11481.85,126,234.80,10,35.62,9778,11681.03,
Godda,1285,1207.15,48,62.90,229,149.24,1104,1120.81,
Gumla,201,1520.74,14,51.44,6,0.00,203,1536.84,
Hazaribagh,2997,5558.26,100,292.26,158,267.50,2929,5547.57,
Jamtara,591,472.08,38,30.35,29,38.82,600,463.61,
Khunti,51,462.04,4,12.45,2,2.00,50,462.04,
Koderma,1040,3251.92,41,56.84,32,118.68,1049,3190.08,
Latehar,410,425.21,0,0.00,11,8.45,399,416.76,
Lohardaga,63,965.42,3,4.50,0,0.00,66,219.84,
Pakur,1049,1252.71,82,161.40,97,155.56,1034,2008.62,
Palamu,1197,870.01,6,27.70,0,0.00,1203,897.71,
Ramgarh,1109,1545.46,21,26.34,4,15.00,1126,1556.80,
Ranchi,2279,56139.44,134,1295.93,98,528.02,2314,56304.22,
Sahibganj,1150,1548.11,93,189.25,101,114.41,1142,1622.95,
Seraikela-Kharsawan,710,2451.59,17,58.44,16,5.28,711,2504.75,
Simdega,99,338.58,3,17.00,3,1.00,97,339.58,
West Singhbhum,768,2648.07,23,62.00,10,4.23,781,2705.85,
