district,target_for_2025_26_no_of_prj,mm_involve_in_lakh,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,margin_money_claimed_no_of_prj,mm_involve_in_lakh,mm_disbursed_no_of_prj,mm_involve_in_lakh,returned_by_bank_no_of_prj,mm_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh,pending_for_mm_disbursement_no_of_prj,mm_in_lakh
Bokaro,,,97,384.61,6,10.85,72,228.86,41,112.36,9,27.30,84,351.28,57,185.28
Chatra,,,,,2,9.18,17,41.41,12,39.26,,,,,13,34.67
Deoghar,,,,,1,12.25,38,123.92,35,114.06,,,,,24,79.92
Dhanbad,,,47,173.49,9,55.08,76,177.14,52,127.68,2,13.38,40,154.03,61,136.23
Dumka,,,,,,,53,120.44,41,107.81,,,,,35,71.43
Garhwa,,,,,1,5.25,26,59.53,24,77.18,,,,,14,34.13
Giridih,,,1,10.50,1,5.95,76,213.54,50,170.99,,,1,10.50,61,146.22
Godda,,,,,1,1.75,60,188.01,35,98.27,,,,,47,150.41
Gumla,,,,,2,19.25,22,75.89,28,76.07,0,0,,,19,70.42
Hazaribagh,,,,,6,36.6,65,220.36,49,183.71,0,0,,,51,165.90
Jamtara,,,1,2.50,2,4.25,24,58.77,21,50.19,,,,,15,31.04
Khunti,,,,,2,3.22,32,100.89,20,42.08,,,,,22,83.48
Koderma,,,,,,,19,64.41,15,59.68,,,,,14,42.66
Latehar,,,,,1,6.77,9,26.12,13,27.31,,,,,7,22.87
Lohardaga,,,,,2,4.73,20,38.63,26,55.27,,,,,13,25.61
Pakur,,,,,,,11,15.14,13,36.93,,,,,9,12.34
Palamu,,,,,3,4.52,31,66.71,16,44.89,,,,,27,62.38
Ramgarh,,,,,,,31,153.12,13,41.74,,,,,30,151.02
Ranchi,,,,,5,16.60,84,311.95,61,225.81,,,,,58,218.11
Sahibganj,,,,,,,31,54.07,30,50.46,,,,,25,44.30
Simdega,,,,,,,18,50.96,15,37.47,,,,,12,40.85
