district,as_on_30th_september_2025_agriculture_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,education_non_pririoty_o_s_nos,o_s_amt,npa,npa_amt,npa_nos_pct,npa_amt_pct,housing_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,personal_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,col_26
Bokaro,383,109.81,126,46.87,32.90,42.69,129,2791.67,"NOS
1",9.21,0.78,0.33,3780,68550.94,23,285.95,0.61,0.42,32251,92099.86,1212,2032.90,3.76,2.21,
Chatra,185,211.21,32,29.27,17.30,13.86,3,21.03,,,0.00,0.00,167,2962.16,1,,0.60,0.00,5535,18256.15,156,302.24,2.82,1.66,
Deoghar,131,256.52,46,20.52,35.11,8.00,70,1571.22,3,33.65,4.29,2.14,1790,37875.73,5,102.05,0.28,0.27,13228,33345.40,499,545.41,3.77,1.64,
Dhanbad,343,422.92,130,103.35,37.90,24.44,268,3019.15,3,56.38,1.12,1.87,6794,95127.30,63,863.43,0.93,0.91,51832,185735.23,2197,3612.53,4.24,1.94,
Dumka,91,264.59,11,14.47,12.09,5.47,11,141.27,,,0.00,0.00,304,7385.03,1,13.38,0.33,0.18,6512,14493.48,249,373.35,3.82,2.58,
East Singhbhum,581,238.27,108,42.81,18.59,17.97,1408,31501.66,6,37.02,0.43,0.12,11976,235405.58,100,1992.53,0.84,0.85,64757,163386.29,2382,3383.56,3.68,2.07,
Garhwa,161,63.60,97,15.35,60.25,24.14,6,105.18,,,0.00,0.00,165,3006.48,1,25.11,0.61,0.84,5844,14145.18,161,196.79,2.75,1.39,
Giridih,152,327.35,15,16.58,9.87,5.07,23,530.03,1,2.85,4.35,0.54,935,19782.93,13,69.58,1.39,0.35,16358,31212.40,689,698.87,4.21,2.24,
Godda,217,486.58,21,37.37,9.68,7.68,8,77.62,,,0.00,0.00,284,5465.80,,,0.00,0.00,5027,11179.52,178,228.83,3.54,2.05,
Gumla,404,451.47,290,146.45,71.78,32.44,2,30.26,,,0.00,0.00,204,5005.30,4,103.90,1.96,2.08,4240,10395.68,204,171.76,4.81,1.65,
Hazaribagh,142,261.70,30,29.47,21.13,11.26,58,1204.83,3,3.70,5.17,0.31,2098,39416.78,16,27.10,0.76,0.07,19547,58773.67,857,1228.57,4.38,2.09,
Jamtara,52,109.64,1,0.90,1.92,0.82,9,161.07,,,0.00,0.00,194,2757.50,1,78.94,0.52,2.86,3227,5897.14,175,236.05,5.42,4.00,
Khunti,56,27.73,49,19.39,87.50,69.91,4,88.07,,,0.00,0.00,194,4730.97,1,213.87,0.52,4.52,2743,6591.35,90,186.08,3.28,2.82,
Koderma,21,32.75,4,2.89,19.05,8.81,14,341.43,,,0.00,0.00,329,6861.72,5,42.66,1.52,0.62,6426,13513.99,202,250.94,3.14,1.86,
Latehar,43,92.00,3,3.95,6.98,4.30,6,36.59,,,0.00,0.00,117,3299.66,3,34.52,2.56,1.05,3340,9980.68,132,164.30,3.95,1.65,
Lohardaga,41,68.00,3,2.19,7.32,3.23,4,57.67,,,0.00,0.00,188,3974.90,4,166.64,2.13,4.19,2427,6312.95,186,235.27,7.66,3.73,
Pakur,13,46.75,,,0.00,0.00,4,92.80,,,0.00,0.00,319,5518.51,2,4.88,0.63,0.09,2279,4749.47,147,124.45,6.45,2.62,
Palamu,115,120.69,55,19.10,47.83,15.83,23,253.25,1,1.01,4.35,0.40,534,10916.67,5,39.62,0.94,0.36,12022,26958.34,415,493.29,3.45,1.83,
Ramgarh,83,85.36,38,14.48,45.78,16.96,32,849.43,,,0.00,0.00,1451,31325.78,9,117.64,0.62,0.38,15253,57570.35,731,2495.63,4.79,4.33,
Ranchi,296,36479.40,71,914.94,23.99,2.51,961,18633.42,10,38.40,1.04,0.21,19383,454277.88,184,3422.27,0.95,0.75,83632,287390.08,2986,4506.92,3.57,1.57,
Sahibganj,227,653.97,26,50.31,11.45,7.69,9,83.91,,,0.00,0.00,224,3330.53,8,,3.57,0.00,5125,11038.48,272,335.54,5.31,3.04,
Seraikela-Kharsawan,34,34.92,3,0.59,8.82,1.70,84,911.80,,,0.00,0.00,1544,28950.58,12,333.50,0.78,1.15,13063,29574.56,469,489.29,3.59,1.65,
Simdega,34,123.94,3,13.52,8.82,10.90,3,45.59,,,0.00,0.00,73,1393.99,1,5.89,1.37,0.42,1962,6093.16,128,145.86,6.52,2.39,
West Singhbhum,120,83.81,13,19.34,10.83,23.07,69,1351.50,,,0.00,0.00,796,15429.51,19,169.93,2.39,1.10,10688,27444.39,583,1000.53,5.45,3.65,
