district,shishu_accounts,amount,kishor_accounts,amount,tarun_accounts,amount,tarun_plus_accounts,amount,total_accounts,amount,col_12
Bokaro,8653,3687.70,14171,16884.84,4711,17588.92,20,270.02,27555,38431.49,
Chatra,3222,1260.39,5082,5778.29,3230,8493.86,7,108.13,11541,15640.67,
Deoghar,5879,2512.94,7815,9696.67,1162,6812.48,47,686.71,14903,19708.80,
Dhanbad,35619,14788.86,41868,37221.32,4926,20198.50,42,541.27,82455,72749.95,
Dumka,5822,2306.22,6036,6627.07,543,3334.59,14,1786.60,12415,14054.47,
East Singhbhum,15173,5934.82,20383,22903.81,4990,22180.81,60,932.30,40606,51951.74,
Garhwa,7312,2901.12,6583,6994.50,590,3155.43,17,273.47,14502,13324.52,
Giridih,20673,7630.59,23323,25549.79,4351,17138.78,27,397.15,48374,50716.32,
Godda,7643,2757.79,8546,9504.01,782,4239.42,21,312.81,16992,16814.03,
Gumla,4943,1700.04,3921,4833.95,2323,6714.93,14,239.35,11201,13488.26,
Hazaribagh,8092,3322.07,14396,17077.23,4980,18757.48,31,448.29,27499,39605.06,
Jamtara,1503,493.63,1684,2501.53,722,2484.24,11,129.97,3920,5609.38,
Khunti,1618,509.51,2206,3316.53,795,3426.94,5,74.61,4624,7327.59,
Koderma,5114,2030.39,8815,10600.49,3018,9857.52,10,122.99,16957,22611.40,
Latehar,1998,813.34,1991,2610.92,615,2970.09,10,171.35,4614,6565.71,
Lohardaga,1689,601.30,2517,3433.73,2024,6980.37,10,143.67,6240,11159.07,
Pakur,13350,4781.72,10376,9100.47,1026,3084.99,11,133.64,24763,17100.82,
Palamu,8743,3338.40,12033,13391.44,889,5758.83,53,839.22,21718,23327.88,
Ramgarh,7641,2802.58,8750,9588.43,2942,10392.17,14,207.53,19347,22990.71,
Ranchi,17943,7122.65,26526,32766.89,5979,28233.49,82,1392.15,50530,69515.19,
Sahibganj,7234,2661.21,7862,7993.54,705,3362.05,19,316.57,15820,14333.38,
Seraikela-Kharsawan,3804,1383.89,5238,6110.14,2162,7667.65,23,343.87,11227,15505.54,
Simdega,717,274.84,2142,2629.84,1191,3181.75,4,60.36,4054,6146.79,
West Singhbhum,3993,1492.05,4802,6035.09,1881,6431.22,9,114.07,10685,14072.43,
