district,target_no,amt,disbursement_upto_the_end_of_current_quarter_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_msme_no,amt,achv_pct_amt,col_15
Bokaro,21357,274078.27,12066.00,106346.10,438.00,68682.83,91.00,52666.12,7.00,166.10,12602.00,227861.15,83.14,
Chatra,4111,26245.56,2866.00,15329.03,36.00,4804.37,8.00,69.50,2.00,3.78,2912.00,20206.68,76.99,
Deoghar,13769,157010.05,8444.00,67590.09,253.00,35072.09,55.00,18689.23,60.00,133.64,8812.00,121485.05,77.37,
Dhanbad,33608,495662.03,18135.00,169780.77,829.00,136334.19,277.00,78936.76,6.00,52.49,19247.00,385104.21,77.69,
Dumka,7474,61725.77,4186.00,24932.46,137.00,15214.29,17.00,2923.22,5.00,179.37,4345.00,43249.33,70.07,
East Singhbhum,34344,819674.56,17503.00,233753.81,1699.00,241208.05,517.00,209490.64,15.00,30.42,19734.00,684482.92,83.51,
Garhwa,4183,28350.68,2344.00,15968.23,57.00,5003.83,,,8.00,29.84,2409.00,21001.90,74.08,
Giridih,19596,147566.87,10404.00,73625.16,189.00,31465.24,67.00,6624.17,2.00,36.80,10662.00,111751.38,75.73,
Godda,7840,45185.39,4407.00,25446.86,120.00,6174.94,3.00,1036.84,1.00,0.57,4531.00,32659.21,72.28,
Gumla,3126,26622.59,1959.00,14839.95,56.00,5201.17,9.00,108.07,,,2024.00,20149.19,75.68,
Hazaribagh,18456,179128.07,10194.00,76749.67,315.00,41179.25,75.00,12989.79,4.00,8.16,10588.00,130926.87,73.09,
Jamtara,3697,15490.04,2298.00,10241.61,41.00,1751.95,4.00,7.60,,,2343.00,12001.17,77.48,
Khunti,2473,18601.42,1444.00,10267.18,39.00,4173.02,1.00,150.00,,,1484.00,14590.20,78.44,
Koderma,8812,65780.10,4887.00,32749.06,109.00,9761.65,25.00,3227.36,,,5021.00,45738.07,69.53,
Latehar,5696,25361.60,2495.00,13601.57,33.00,2439.21,2.00,3.74,6.00,60.35,2536.00,16104.87,63.50,
Lohardaga,3089,23710.89,2055.00,11863.14,37.00,3343.40,5.00,766.48,,,2097.00,15973.02,67.37,
Pakur,10731,40081.62,5039.00,14668.46,80.00,3699.79,6.00,620.84,4.00,10.05,5129.00,18999.14,47.40,
Palamu,7965,65738.80,4333.00,32567.09,165.00,15052.18,22.00,2217.13,9.00,23.09,4529.00,49859.49,75.84,
Ramgarh,9679,116096.90,5971.00,48707.31,183.00,28681.09,46.00,8941.43,4.00,7.08,6204.00,86336.91,74.37,
Ranchi,54514,1082028.21,27459.00,399379.55,1895.00,323811.97,408.00,166453.81,69.00,2555.03,29831.00,892200.36,82.46,
Sahibganj,7857,29030.54,4254.00,15944.86,70.00,3195.05,17.00,568.74,,,4341.00,19708.66,67.89,
Seraikela-Kharsawan,10908,181892.16,5437.00,51112.26,320.00,50946.72,120.00,66032.85,3.00,367.65,5880.00,168459.49,92.62,
Simdega,2027,13600.96,1420.00,8286.14,23.00,1398.32,4.00,35.38,,,1447.00,9719.85,71.46,
West Singhbhum,8158,61336.92,4134.00,25057.68,119.00,12364.78,25.00,4892.05,2.00,3.10,4280.00,42317.60,68.99,
