district,shishu_outstanding_no,amt,npa_no,amt,kishor_outstanding_no,amt,npa_no,amt,tarun_outstanding_no,amt,[no_in_actual_and_amt_in_lakh]_npa_no,amt,tarun_plus_outstanding_no,amt,npa_no,amt,pmmy_outstanding_no,amt,npa_no,amt
Bokaro,61405,11367.23,16630,2907.65,48668,42765.93,9104,7319.50,8022,37683.97,800,4061.81,33,398.88,,,118128,92216,26534,14289
Chatra,24777,4634.24,7899,1320.93,18568,14581.06,3572,2540.57,4588,19575.79,226,1198.38,16,204.49,1,10.13,47949,38996,11698,5070
Deoghar,23045,4886.82,3767,830.43,25094,22885.01,3355,3146.79,2514,13913.40,271,1141.83,93,1343.70,6,291.18,50746,43029,7399,5410
Dhanbad,169416,33966.16,44763,7584.79,93999,72517.31,10522,7742.60,8789,44327.32,1026,5101.02,72,792.78,,,272276,151604,56311,20428
Dumka,28177,5767.42,6417,1284.51,25345,17514.17,3733,2596.14,1206,6143.14,168,580.51,44,2127.07,1,2.27,54772,31552,10319,4463
East Singhbhum,84635,16286.11,19824,4004.38,74277,63275.89,10993,8355.17,9798,53941.02,1075,6233.78,137,1870.72,3,31.37,168847,135374,31895,18625
Garhwa,45004,9007.02,16289,2794.80,31960,19291.67,6069,2890.20,1398,7047.17,94,423.26,46,565.73,2,13.72,78408,35912,22454,6122
Giridih,137913,24360.81,38390,6197.42,98273,64356.61,15575,9271.62,7039,35567.33,462,2391.75,70,844.00,1,9.57,243295,125129,54428,17870
Godda,42950,8069.22,12414,2156.71,36098,24963.85,6441,3874.85,1589,8050.68,203,863.00,64,707.20,1,11.64,80701,41791,19059,6906
Gumla,30751,4704.76,6843,1170.31,15004,12018.69,2427,1877.52,3747,16326.37,175,846.91,25,333.39,,,49527,33383,9445,3895
Hazaribagh,58966,10551.31,13556,2371.83,54562,44903.47,8908,7105.06,8032,40964.40,787,3752.01,102,1054.77,8,85.12,121662,97474,23259,13314
Jamtara,6341,964.11,1036,188.01,4964,6207.36,955,1060.85,1062,4461.70,72,289.70,32,345.29,1,10.63,12399,11978,2064,1549
Khunti,10438,1436.33,1515,356.00,7595,7682.33,1112,998.27,1498,6902.39,79,420.94,13,149.85,,,19544,16171,2706,1775
Koderma,31259,5362.40,6570,1056.03,32489,25115.46,4306,3217.07,4460,23422.79,330,1767.56,16,203.16,3,30.94,68224,54104,11209,6072
Latehar,16245,2925.83,7279,1189.00,11102,7930.37,2943,1383.85,1120,5718.22,74,324.49,25,303.19,,,28492,16878,10296,2897
Lohardaga,12173,1754.94,2934,521.47,8966,8840.86,1904,1905.19,3207,14294.95,149,811.97,14,165.17,,,24360,25056,4987,3239
Pakur,58485,10223.49,10418,1715.91,41281,20977.27,4735,2373.39,1962,7657.47,218,627.89,16,157.82,,,101744,39016,15371,4717
Palamu,59780,11999.56,21887,3934.09,54953,33843.33,11393,6311.75,2296,11940.82,340,1500.60,161,1889.40,6,40.42,117190,59673,33626,11787
Ramgarh,42860,7977.11,11371,2025.98,33468,26094.98,6052,4578.20,4274,22575.73,368,2102.49,27,237.08,,,80629,56885,17791,8707
Ranchi,94690,19598.66,20407,4363.22,96688,89057.91,16195,13004.14,14129,76085.34,1868,10157.66,190,2494.03,4,33.68,205697,187236,38474,27559
Sahibganj,48530,8525.69,17468,2929.41,33135,19829.39,6899,3342.02,1750,8207.87,167,753.97,29,359.47,2,39.60,83444,36922,24536,7065
Seraikela-Kharsawan,24951,3718.75,4485,818.69,20055,19211.78,2744,2530.87,3616,18627.09,255,1373.63,49,593.64,3,19.40,48671,42151,7487,4743
Simdega,6774,760.31,672,153.69,5262,5874.27,674,817.22,1932,8871.47,87,537.24,6,79.70,,,13974,15586,1433,1508
West Singhbhum,28753,4496.08,7820,1336.25,22289,24707.99,3934,3229.85,3592,17560.45,282,1466.80,26,262.36,2,10.49,54660,47027,12038,6043
