District,target,no_of_apy_accounts_enrolled_from_1st_may_to_30_jun_2023,of_target_achievement
Adilabad,2100.0,1912.0,91.05
Bhadradri Kothagudem,2320.0,1428.0,61.55
Hyderabad,20780.0,8164.0,39.29
Jagitial,1720.0,1358.0,78.95
Jangoan,1060.0,866.0,81.7
Jayashankar Bhupalapally,980.0,1713.0,174.8
Jogulamba Gadwal,820.0,982.0,119.76
Kamareddy,1760.0,1516.0,86.14
Karimnagar,4240.0,2264.0,53.4
Khammam,3900.0,2755.0,70.64
Kumuram Bheem Asifabad,820.0,662.0,80.73
Mahabubabad,1020.0,1958.0,191.96
Mahabubnagar,3060.0,1815.0,59.31
Mancherial,1840.0,1648.0,89.57
Medak,2600.0,1408.0,54.15
Medchal Malkajgiri,8560.0,3154.0,36.85
Mulugu,600.0,97.0,16.17
Nagarkurnool,1280.0,1545.0,120.7
Nalgonda,4340.0,4699.0,108.27
Narayanpet,600.0,254.0,42.33
Nirmal,1380.0,1426.0,103.33
Nizamabad,4880.0,3260.0,66.8
Peddapalli,1680.0,665.0,39.58
Rajanna Sircilla,940.0,923.0,98.19
Ranga Reddy,12560.0,5431.0,43.24
Sangareddy,3380.0,2417.0,71.51
Siddipet,2020.0,1637.0,81.04
Suryapet,2440.0,1924.0,78.85
Vikarabad,1600.0,1016.0,63.5
Wanaparthy,900.0,1108.0,123.11
Warangal,3640.0,2403.0,66.02
Yadadri Bhuvanagiri,1540.0,1500.0,97.4
