District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Adilabad,38.0,0.0,0.0,1326.07,1.26,2.63,327.0,14.44,15.84,354.03,0.0,0.0,151.0,0.0,0.0,93.74,13.53,0.0,2354.07,209.56,2563.63,199.32,486.61,3249.56,800.1,1534.64,36.38,0.0,48.0,91.19,20.33,8.77,0.0,4217.95
Bhadradri Kothagudem,20.0,0.0,0.0,584.81,1.09,0.54,868.0,3.72,0.69,191.94,0.0,0.0,239.0,0.99,4.21,64.67,14.44,0.0,2710.98,736.99,3447.97,132.67,728.9,4309.54,426.55,710.13,12.85,0.0,202.8,536.22,26.69,23.51,0.0,5525.31
Hanumakonda,121.0,0.0,0.0,2288.51,2.28,3.01,2128.0,7.31,1.81,568.86,0.25,0.26,10.0,0.35,21.21,54.12,9.58,0.0,1432.73,400.4,1833.13,113.5,551.65,2498.28,1369.6,1429.67,32.17,0.0,75.63,403.2,96.2,1.65,0.0,4444.56
Hyderabad,1678.0,193.43,50.0,58130.38,17.94,1.49,9045.0,360.52,12.62,8656.26,61.7,14.76,26.0,34.0,129.23,403.25,86.67,14.98,0.0,0.0,0.0,0.0,0.0,0.0,23972.55,31262.48,106.17,390.0,1203.87,2855.68,418.02,26.31,578.38,29444.82
Jagitial,89.0,0.0,0.0,458.97,3.15,9.25,519.0,7.31,7.49,237.72,0.0,0.0,270.0,6.4,85.68,78.06,9.1,0.0,2117.96,606.43,2724.39,139.77,834.75,3698.91,1086.7,872.46,17.63,0.0,34.07,97.65,23.14,7.47,0.0,4947.94
Jangoan,43.0,0.0,0.0,195.92,0.58,2.48,285.0,3.76,6.03,141.76,0.2,2.58,0.0,0.0,0.0,32.2,5.2,0.0,1592.6,531.7,2124.3,116.33,410.75,2651.38,297.09,492.29,16.18,0.0,23.39,62.32,7.76,0.97,0.0,3042.91
Jayashankar Bhupalapally,,0.0,0.0,,0.58,4.03,,0.71,2.53,,0.0,0.0,,0.07,9.09,,4.1,0.0,1010.25,500.57,1510.82,80.07,19.74,1610.63,84.04,199.71,11.44,0.0,14.38,28.11,8.04,0.77,0.0,1745.97
Jogulamba Gadwal,7.0,0.0,0.0,258.04,0.46,3.13,211.0,0.58,0.52,72.26,0.0,0.0,0.0,0.0,0.0,12.73,1.88,0.0,2647.79,429.98,3077.77,96.0,356.81,3530.58,474.49,685.02,16.47,0.0,14.71,112.6,19.03,7.19,0.0,4158.6
Kamareddy,128.0,0.0,0.0,428.16,0.32,0.96,462.0,6.89,5.06,288.12,0.03,0.16,1.0,0.0,0.0,63.8,4.69,0.0,3165.63,646.44,3812.07,105.38,388.86,4306.31,593.4,813.45,15.98,0.0,33.49,136.12,18.27,3.39,0.0,5090.98
Karimnagar,74.0,0.0,0.0,2184.38,2.76,6.82,1146.0,79.3,45.07,592.3,0.1,0.57,724.0,5.81,59.96,202.58,27.61,0.0,2301.55,517.39,2818.94,94.98,664.51,3578.43,1063.45,2020.94,41.37,0.0,40.49,175.94,17.52,9.69,0.0,4885.52
Khammam,97.0,0.0,0.0,1852.36,3.36,1.42,1805.0,10.44,2.25,743.81,0.2,0.64,262.0,2.82,15.34,149.0,28.49,0.0,3292.28,699.51,3991.79,177.76,797.1,4966.65,520.65,2068.52,33.16,0.0,236.62,464.38,31.47,18.38,0.0,6238.15
Kumuram Bheem Asifabad,22.0,0.0,0.0,119.54,0.04,0.11,93.0,0.31,0.44,37.14,0.0,0.0,48.0,0.0,0.0,21.79,2.75,0.0,1519.37,224.57,1743.94,133.4,246.96,2124.3,265.59,343.2,13.64,0.0,35.21,70.85,15.18,5.92,0.0,2517.05
Mahabubabad,30.0,0.0,0.0,321.67,0.49,3.89,291.0,3.07,12.81,113.67,0.0,0.0,1.0,0.0,0.0,43.78,8.76,0.0,1688.76,429.63,2118.39,113.07,395.91,2627.37,282.36,679.66,22.99,0.0,12.59,23.97,9.29,0.99,0.0,2956.57
Mahabubnagar,89.0,0.0,0.0,1043.93,1.26,5.74,726.0,9.53,5.9,502.18,0.2,0.77,0.0,0.0,0.0,24.49,4.5,0.0,3162.41,601.63,3764.04,84.51,484.92,4333.47,584.61,947.59,18.42,0.0,21.97,161.51,26.08,15.54,0.0,5143.18
Mancherial,63.0,0.0,0.0,620.0,0.82,0.63,560.0,9.87,3.93,395.51,0.1,0.28,40.0,0.0,0.0,42.65,8.09,0.0,2158.7,247.08,2405.78,137.11,561.31,3104.2,752.91,795.3,18.57,0.0,129.26,250.89,35.58,9.08,0.0,4281.92
Medak,40.0,0.0,0.0,497.46,0.17,2.24,298.0,6.96,3.76,159.6,0.1,0.58,0.0,0.0,0.0,142.67,15.99,0.0,1758.32,521.97,2280.29,126.48,388.59,2795.36,514.77,714.77,20.26,0.0,7.59,185.09,17.35,6.96,0.0,3527.12
Medchal Malkajgiri,298.0,0.0,0.0,12231.2,8.3,2.65,6077.0,96.31,9.2,3238.46,0.27,0.11,9.0,0.0,0.0,165.11,41.86,0.0,242.36,1191.45,1433.81,175.37,305.92,1915.1,4983.41,7019.36,82.12,0.0,313.19,1047.22,250.65,38.4,0.0,8547.97
Mulugu,125.0,0.0,0.0,60.71,0.82,5.67,116.0,0.62,2.2,28.94,0.0,0.0,18.0,0.0,0.0,2.83,0.13,0.0,831.45,415.78,1247.23,50.15,22.05,1319.43,98.98,171.2,11.65,0.0,14.45,28.18,7.7,0.7,0.0,1469.44
Nagarkurnool,30.0,0.0,0.0,341.7,0.45,3.31,337.0,4.83,2.88,149.62,0.0,0.0,0.0,0.0,0.0,15.32,2.03,0.0,3456.16,804.59,4260.75,95.32,608.73,4964.8,413.85,850.26,15.25,0.0,13.58,168.0,5.02,9.59,0.0,5574.84
Nalgonda,133.0,0.0,0.0,1950.83,3.06,5.17,1173.0,12.17,4.57,690.14,0.29,0.5,2.0,0.0,0.0,44.0,9.98,0.0,4909.21,610.53,5519.74,275.38,1379.86,7174.98,821.5,2866.99,33.99,0.0,59.22,266.03,57.91,55.2,0.0,8434.84
Narayanpet,22.0,0.0,0.0,134.11,0.56,11.62,195.0,0.84,4.38,72.35,0.0,0.0,0.0,0.0,0.0,18.11,5.55,0.0,1834.09,407.37,2241.46,76.26,134.88,2452.6,176.45,340.61,12.76,0.0,4.82,19.2,11.24,5.33,0.0,2669.64
Nirmal,32.0,0.0,0.0,607.95,0.85,2.07,302.0,7.66,8.87,222.86,0.0,0.0,15.0,0.0,0.0,34.77,5.75,0.0,2316.68,232.28,2548.96,225.73,521.32,3296.01,564.5,1072.49,26.61,0.0,40.97,86.4,21.66,20.33,0.0,4029.87
Nizamabad,277.0,0.0,0.0,1863.24,1.42,1.8,1260.0,19.95,12.11,846.73,1.2,3.37,2.0,0.0,0.0,147.52,20.81,0.0,4062.25,980.3,5042.55,252.39,1273.5,6568.44,1646.89,2272.61,26.69,0.0,78.71,164.69,35.64,19.17,0.0,8513.54
Peddapalli,37.0,0.0,0.0,608.28,1.05,6.86,581.0,6.81,8.64,213.42,0.0,0.0,260.0,2.37,12.78,56.02,10.34,0.0,1854.26,330.46,2184.72,49.17,409.87,2643.76,484.98,675.1,20.71,0.0,15.3,78.8,17.91,18.55,0.0,3259.3
Rajanna Sircilla,10.0,0.0,0.0,293.82,1.02,7.83,368.0,1.21,3.99,198.07,0.0,0.0,510.0,6.18,84.77,109.05,8.12,0.0,1401.85,226.58,1628.43,117.65,387.94,2134.02,640.69,428.64,15.12,0.0,13.03,30.29,8.91,7.29,0.0,2834.23
Ranga Reddy,992.0,0.0,0.0,9872.29,8.06,6.44,5913.0,140.0,12.1,4035.66,0.2,0.24,22.0,0.14,0.5,122.32,30.57,0.0,2792.6,1823.49,4616.09,447.19,768.73,5832.01,7686.35,6322.06,42.39,0.0,125.11,1156.76,84.38,28.11,0.0,14912.72
Sangareddy,179.0,0.0,0.0,1785.36,1.33,1.56,1836.0,20.67,1.63,1333.42,0.18,0.4,0.0,0.0,0.0,179.59,21.12,0.0,2722.81,325.86,3048.67,122.88,972.5,4144.05,1000.58,1571.47,23.99,0.0,85.39,1269.28,45.52,6.71,0.0,6551.53
Siddipet,46.0,0.0,0.0,529.94,1.1,8.04,545.0,11.5,3.4,379.86,0.0,0.0,12.0,0.12,3.96,154.38,19.71,0.0,3088.94,740.54,3829.48,142.74,538.66,4510.88,661.86,945.89,16.95,0.0,13.69,338.32,53.35,3.03,0.0,5581.13
Suryapet,149.0,0.0,0.0,1058.76,1.35,3.75,887.0,11.87,6.59,555.07,0.0,0.0,3.0,0.0,0.0,46.72,10.61,0.0,2614.67,362.6,2977.27,226.64,774.69,3978.6,457.47,1889.24,39.73,0.0,36.0,180.03,35.65,67.79,0.0,4755.54
Vikarabad,76.0,0.0,0.0,272.38,0.4,0.25,298.0,4.65,0.47,128.96,0.0,0.0,8.0,0.1,0.11,32.99,7.78,0.0,2582.24,683.54,3265.78,76.84,487.24,3829.86,1200.55,569.78,8.96,0.0,158.03,991.18,91.29,90.61,0.0,6361.52
Wanaparthy,8.0,0.0,0.0,263.73,0.61,5.97,279.0,2.88,7.87,137.87,0.0,0.0,0.0,0.0,0.0,29.98,5.25,0.0,2307.13,536.09,2843.22,94.04,324.2,3261.46,185.26,386.28,11.0,0.0,10.21,36.6,10.61,6.42,0.0,3510.56
Warangal,84.0,0.0,0.0,1519.84,1.83,15.61,1043.0,6.3,14.51,251.61,0.0,0.0,8.0,0.82,132.26,69.96,7.18,0.0,1578.36,632.46,2210.82,108.21,56.93,2375.96,205.76,1280.16,48.43,0.0,11.72,43.43,5.89,0.62,0.0,2643.38
Yadadri Bhuvanagiri,106.0,0.0,0.0,454.32,1.09,4.26,395.0,8.58,7.4,239.65,4.45,21.09,0.0,0.0,0.0,15.25,2.01,0.0,1929.44,307.1,2236.54,176.33,563.88,2976.75,353.54,808.47,23.05,0.0,25.58,115.93,21.1,15.05,0.0,3507.95
