District,q1_fy_2023_24_no,approved_amt,cumulative_as_on_30_06_2023_no
Adilabad,283.0,31.3,6132.0
Bhadradri Kothagudem,170.0,10.8,1665.0
Hanumakonda,184.0,23.09,11027.0
Hyderabad,1907.0,513.75,71321.0
Jagitial,72.0,5.67,662.0
Jangoan,65.0,5.49,627.0
Jayashankar Bhupalapally,56.0,2.1,619.0
Jogulamba Gadwal,28.0,1.15,921.0
Kamareddy,81.0,8.3,1370.0
Karimnagar,158.0,28.08,9565.0
Khammam,335.0,24.2,10089.0
Mahabubabad,36.0,2.0,530.0
Mahabubnagar,147.0,10.08,12749.0
Mancherial,106.0,8.19,629.0
Medak,91.0,14.13,7413.0
Medchal Malkajgiri,168.0,34.16,2204.0
Nagarkurnool,47.0,3.99,371.0
Nalgonda,347.0,23.51,14438.0
Nirmal,80.0,9.66,1088.0
Nizamabad,325.0,26.58,8352.0
Peddapalli,69.0,4.58,768.0
Rajanna Sircilla,65.0,5.81,574.0
Ranga Reddy,351.0,80.51,29226.0
Sangareddy,128.0,19.9,1677.0
Siddipet,90.0,7.73,1159.0
Suryapet,102.0,5.02,1696.0
Vikarabad,65.0,3.47,781.0
Wanaparthy,9.0,1.45,270.0
Warangal,50.0,7.12,1578.0
Yadadri Bhuvanagiri,34.0,6.74,1116.0
