District,total_branch,deposits_rural,deposits_semi_urban,deposits_urban,total_deposit,advances_rural,advances_semi_urban,advances_urban,total_advance,cd_ratio
Adilabad,108.0,1470.09,501.62,1997.19,3968.9,2156.55,1128.47,6113.19,9398.21,236.8
Bhadradri Kothagudem,170.0,1191.76,6403.01,36.84,7631.61,1781.46,5903.2,210.77,7895.43,103.46
Hanumakonda,160.0,827.74,627.64,10291.96,11747.34,1451.84,1398.91,10655.56,13506.31,114.97
Hyderabad,1112.0,7.13,245.08,362568.8,362821.0,121.84,1643.5,461267.7,463033.1,127.62
Jagitial,126.0,1550.59,1929.72,1642.56,5122.87,2390.18,1901.35,1816.38,6107.91,119.23
Jangoan,61.0,700.95,1108.65,3.85,1813.45,1743.38,2165.2,4.51,3913.09,215.78
Jayashankar Bhupalapally,45.0,540.08,1136.97,1.21,1678.26,1017.18,925.7,3.77,1946.65,115.99
Jogulamba Gadwal,56.0,458.87,1406.65,0.0,1865.52,1241.97,2058.0,37.8,3337.77,178.92
Kamareddy,135.0,1261.56,2333.45,7.24,3602.25,2573.02,3574.73,81.0,6228.75,172.91
Karimnagar,217.0,3926.86,2053.02,6269.75,12249.63,3853.94,2017.39,7507.21,13378.54,109.22
Khammam,244.0,2078.83,1895.21,5752.41,9726.45,4097.87,3414.67,9215.85,16728.39,171.99
Kumuram Bheem Asifabad,55.0,1201.33,659.98,13.08,1874.39,1243.49,382.45,53.59,1679.53,89.6
Mahabubabad,69.0,474.41,1536.99,6.38,2017.78,1238.88,3006.84,68.58,4314.3,213.81
Mahabubnagar,137.0,919.78,752.37,3634.44,5306.59,1943.86,1553.75,5163.29,8660.9,163.21
Mancherial,122.0,2590.14,5141.73,273.23,8005.1,1987.67,4064.92,350.21,6402.8,79.98
Medak,106.0,999.46,1529.63,3.82,2532.91,2435.82,2695.85,506.56,5638.23,222.6
Medchal Malkajgiri,618.0,3022.78,6539.55,83196.64,92758.97,1958.46,5814.43,50188.5,57961.39,62.49
Mulugu,37.0,805.21,329.57,0.0,1134.78,963.85,434.24,20.9,1418.99,125.05
Nagarkurnool,87.0,1115.16,1463.49,9.59,2588.24,2207.18,2777.99,307.37,5292.54,204.48
Nalgonda,223.0,2094.43,1333.69,5210.62,8638.74,5025.0,2792.91,8917.33,16735.24,193.72
Narayanpet,53.0,529.88,846.32,0.0,1376.2,1207.46,1316.13,31.71,2555.3,185.68
Nirmal,92.0,1507.6,1549.82,69.82,3127.24,2382.07,2946.11,176.93,5505.11,176.04
Nizamabad,279.0,2905.61,2057.24,4540.66,9503.51,5560.85,3544.48,7273.34,16378.67,172.34
Peddapalli,113.0,1843.13,2135.83,2534.76,6513.72,1705.14,2372.31,1657.86,5735.31,88.05
Rajanna Sircilla,69.0,1009.22,1951.01,694.6,3654.83,1514.67,1674.69,635.34,3824.7,104.65
Ranga Reddy,754.0,7894.55,4602.24,77069.48,89566.27,6209.62,5665.24,71226.4,83101.26,92.78
Sangareddy,237.0,7275.13,5851.24,5063.78,18190.15,4473.07,9512.34,4988.5,18973.91,104.31
Siddipet,143.0,1689.51,1628.79,1729.83,5048.13,2807.99,2367.89,1977.67,7153.55,141.71
Suryapet,155.0,1233.29,1675.01,1592.78,4501.08,2981.21,3958.22,3489.17,10428.6,231.69
Vikarabad,102.0,1128.93,1798.02,51.18,2978.13,2020.68,2566.88,140.28,4727.84,158.75
Wanaparthy,59.0,438.18,1421.09,8.15,1867.42,1071.28,2188.01,25.68,3284.97,175.91
Warangal,129.0,741.48,612.71,8597.1,9951.29,1927.53,1597.18,6126.42,9651.13,96.98
Yadadri Bhuvanagiri,104.0,1244.9,2482.38,18.2,3745.48,2232.99,3298.99,121.39,5653.37,150.94
