District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Adilabad,104307.0,5.19,9.6,69.44,2.63,5.94,218.0,140.6,155.2,1588.73,196.08,120.26,85025.0,653.88,346.72,4649.26,998.38,184.69,54.05,44.29,90.59,163.05,188.59,540.57
Bhadradri Kothagudem,246516.0,3.48,33.37,313.73,1.73,22.97,438.0,35.65,284.06,739.6,269.79,1161.9,88154.0,192.54,963.66,4201.5,503.19,682.66,10.43,7.53,12.55,23.22,19.98,73.71
Hanumakonda,164535.0,9.23,29.45,173.97,12.36,26.05,1793.0,100.35,142.14,2857.51,247.92,247.33,121302.0,468.71,353.98,7159.08,838.57,219.5,31.34,47.45,70.6,100.24,132.41,382.04
Hyderabad,143311.0,1198.29,0.0,444.1,103.07,7.99,9533.0,2647.98,68.39,46115.03,3045.18,39.32,2523286.0,73182.35,539.87,381120.09,80176.87,302.98,0.0,1290.6,3872.12,7744.91,13555.5,26463.2
Jagitial,184665.0,1.87,9.41,201.76,3.91,27.65,618.0,24.29,72.29,572.28,132.96,168.41,59787.0,144.42,274.09,2168.32,307.45,154.3,19.87,14.14,33.6,78.95,52.69,199.25
Jangoan,149879.0,2.78,46.26,116.35,3.99,77.93,713.0,13.84,131.56,285.87,72.79,393.67,22867.0,58.51,295.51,1154.47,151.91,253.44,6.01,5.12,10.52,18.49,19.8,59.94
Jayashankar Bhupalapally,,0.24,1.19,,2.24,7.36,,9.4,20.64,,43.54,66.93,,34.18,40.5,,89.6,36.49,20.15,30.44,45.54,65.05,84.4,245.58
Jogulamba Gadwal,135298.0,1.11,2.1,133.81,1.07,1.53,168.0,9.26,9.45,265.86,54.37,39.79,21099.0,55.99,35.11,1007.44,121.8,23.57,52.8,69.89,98.03,136.65,159.45,516.82
Kamareddy,241745.0,2.41,5.43,254.47,1.18,1.88,264.0,28.01,30.87,635.88,101.03,80.73,35395.0,101.12,65.02,1863.43,233.75,48.85,44.42,62.65,90.75,125.15,155.52,478.49
Karimnagar,212336.0,20.27,9.76,201.11,7.39,2.59,1040.0,82.93,17.76,1708.8,276.48,40.98,143354.0,484.05,50.42,5866.79,871.12,33.57,207.63,285.5,467.06,674.65,960.13,2594.97
Khammam,472833.0,14.32,71.74,599.53,8.93,37.47,1874.0,82.98,258.42,2946.25,276.59,543.61,124985.0,414.2,612.36,7403.83,797.02,409.95,19.96,23.83,32.11,50.88,67.64,194.42
Kumuram Bheem Asifabad,38725.0,2.41,18.22,34.51,0.0,0.0,27.0,1.78,6.37,89.44,22.69,56.98,8143.0,24.23,46.0,405.1,51.11,33.57,13.23,18.6,27.95,39.82,52.67,152.27
Mahabubabad,211949.0,1.41,6.41,187.26,3.08,9.44,658.0,27.98,56.65,287.89,54.63,82.49,26442.0,96.72,100.8,1027.15,183.82,69.05,22.01,32.64,49.39,66.23,95.95,266.22
Mahabubnagar,211201.0,7.54,26.29,232.6,3.86,8.9,500.0,43.74,73.72,1406.95,185.9,214.84,65447.0,188.8,148.65,3943.34,429.84,124.61,28.68,43.39,59.33,86.53,127.01,344.94
Mancherial,92779.0,1.45,4.57,96.46,2.12,4.89,434.0,37.74,60.03,1016.94,241.31,267.62,62948.0,156.7,135.19,3133.65,439.32,127.7,31.75,43.33,62.87,90.17,115.91,344.03
Medak,204353.0,1.66,6.17,230.44,4.54,19.54,505.0,22.87,54.48,490.86,81.9,99.51,50119.0,172.08,181.48,2097.76,283.05,105.12,26.92,23.24,41.98,82.3,94.82,269.26
Medchal Malkajgiri,154256.0,69.84,12.7,220.08,36.46,3.27,5273.0,704.68,31.82,12888.07,1733.36,67.51,511331.0,2871.63,85.09,37871.93,5415.97,55.14,550.03,1114.77,2214.82,2567.43,3374.72,9821.77
Mulugu,75227.0,0.03,0.46,105.58,3.12,57.04,521.0,11.37,118.07,75.12,30.54,344.7,6723.0,23.58,579.36,378.52,68.64,198.9,6.48,5.47,9.63,8.86,4.07,34.51
Nagarkurnool,256802.0,3.49,17.54,310.29,3.59,21.7,443.0,19.24,54.52,361.08,84.53,151.46,30284.0,140.5,225.59,1358.85,251.35,132.41,19.9,16.54,35.29,55.81,62.28,189.82
Nalgonda,527070.0,10.99,19.48,676.51,9.67,13.56,1583.0,72.03,72.34,1626.34,292.72,224.31,129166.0,444.2,308.79,5581.13,829.61,165.37,56.41,71.33,99.57,130.5,143.85,501.66
Narayanpet,147885.0,0.3,6.24,180.08,1.09,15.71,288.0,5.38,52.85,106.98,23.95,168.07,10607.0,27.32,151.61,462.61,58.04,107.08,4.81,6.94,10.18,14.25,18.02,54.2
Nirmal,122627.0,2.0,7.78,119.78,0.69,1.77,196.0,27.84,48.6,529.02,78.96,93.27,31464.0,80.02,72.97,1665.49,189.51,59.92,25.7,38.98,57.28,84.66,109.66,316.28
Nizamabad,367994.0,3.77,15.66,441.49,7.49,23.49,1178.0,92.83,163.89,2514.56,260.57,801.75,116569.0,349.58,637.11,6395.35,714.24,357.16,24.08,31.89,56.64,32.5,54.87,199.98
Peddapalli,132011.0,3.97,11.88,137.7,6.72,23.32,1075.0,31.13,52.79,822.92,97.47,114.52,52476.0,198.18,168.66,2512.91,337.47,104.22,33.42,28.82,58.97,85.11,117.5,323.82
Rajanna Sircilla,91671.0,0.46,3.12,119.45,1.5,12.74,299.0,23.57,88.94,579.82,145.87,330.47,40348.0,106.65,213.09,1500.85,278.05,188.91,14.73,11.77,26.5,44.14,50.05,147.19
Ranga Reddy,330282.0,113.78,14.43,379.05,35.85,1.39,4880.0,1281.26,205.9,23727.81,2002.67,91.73,1233225.0,6965.23,226.5,61251.91,10398.79,112.48,788.59,2575.88,622.27,2183.28,3075.2,9245.22
Sangareddy,276233.0,2.84,3.3,290.1,3.9,7.22,795.0,153.05,74.66,5421.24,452.6,129.32,128324.0,411.11,76.13,11219.95,1023.5,82.88,85.97,54.02,205.0,349.99,540.0,1234.98
Siddipet,240244.0,16.31,58.65,283.04,6.84,15.4,1188.0,46.8,57.33,962.69,122.99,138.97,41053.0,104.43,108.04,2414.25,297.37,87.72,27.81,44.41,81.63,88.5,96.66,339.01
Suryapet,380984.0,2.69,7.13,466.07,5.61,18.6,1493.0,59.24,78.42,1366.57,116.15,109.8,59759.0,229.31,178.59,3306.14,413.0,109.38,37.71,30.16,75.54,105.78,128.4,377.59
Vikarabad,212452.0,0.44,0.3,193.73,1.2,1.34,257.0,10.76,6.26,254.56,67.52,48.26,49099.0,115.52,23.26,1313.03,195.44,18.68,148.21,89.82,171.82,139.91,496.74,1046.5
Wanaparthy,143621.0,0.64,4.8,152.85,2.59,12.58,609.0,9.59,31.99,363.64,53.57,121.12,17123.0,29.42,52.28,1001.74,95.81,58.28,13.34,20.59,29.98,44.23,56.27,164.41
Warangal,195385.0,35.28,284.8,182.94,7.78,79.23,1209.0,61.43,332.95,1313.39,131.43,313.15,103475.0,341.78,778.19,4390.41,577.7,456.5,12.39,9.82,18.45,41.97,43.92,126.55
Yadadri Bhuvanagiri,206250.0,3.08,16.77,220.57,1.25,5.0,224.0,30.16,101.62,649.8,109.16,200.18,35955.0,84.46,116.63,1832.84,228.11,114.06,18.37,24.99,29.68,54.53,72.42,199.99
