district,Block Name,Total Br.,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit &,USSD
Aizawl,Tlangnuam,95,400560273,242946,2189242,35332581,370877,973594
Champhai,Khawbung,3,1330,0,0,1330,0,0
Hnahthial,Hnahthial,5,34550,3230,29068,2596,374,10460
Khawzawl,Khawzawl,7,43002,4127,37130,3145,1405,12047
Kolasib,N. Thingdawl,7,17308,479,4302,5337,2571,2114
Lawngtlai,Sangau,2,1144,0,0,1144,0,0
Lunglei,W. Bunghmun,2,458,0,0,458,0,0
Mamit,Zawlnuam,8,83622,8097,72869,5051,1469,22910
Saiha,Tuipang,1,441,0,0,441,0,0
Saitual,Phullen,5,1634,0,0,1815,666,0
Serchhip,Serchhip,12,113859,10724,96505,7617,2841,44281
