district,Block Name,Total Br.,Sep-I No.,Amt.,Sep-G No.,Amt.,No. of Beneficiary,SHG No.,Amt.,No. of Beneficiary,Women SHG No.,Amt.,No. of Beneficiary
Aizawl,Tlangnuam,95,43,40.12,1,40.12,20,4,40.12,20,8,40.12,20
Champhai,Khawbung,3,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Hnahthial,Hnahthial,5,0,0.00,2,0.00,0,0,0.00,0,0,0.00,0
Khawzawl,Khawzawl,7,9,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Kolasib,N. Thingdawl,7,2,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Lawngtlai,Sangau,2,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Lunglei,W. Bunghmun,2,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Mamit,Zawlnuam,8,4,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Saiha,Tuipang,1,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Saitual,Phullen,5,3,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Serchhip,Serchhip,12,28,0.00,0,0.00,0,0,0.00,0,0,0.00,0
