District,Branch Rural,Semi-Urban,Urban,Total,ATM Rural,CSP Outlet Fixed,Others
Aizawl,18,0,125,45,5,44,1
Champhai,6,10,0,30,0,29,1
Hnahthial,4,1,0,2,0,0,2
Khawzawl,4,2,0,17,1,17,0
Kolasib,7,8,0,27,2,27,0
Lawngtlai,5,6,0,43,0,43,0
Lunglei,7,14,0,21,1,17,4
Mamit,11,4,0,33,1,33,0
Saiha,1,5,0,17,0,16,1
Saitual,6,2,0,9,1,9,0
Serchhip,9,4,0,20,1,20,0
