District,Block Name,Total Branch,Export Credit,Education,Housing,Social Infra,Renewable Energy,Informal Credit,TOTAL Other PS,Loans To Weaker Section
Aizawl,Tlangnuam,95,0,48,604,0,0,420,1072,3745
Champhai,Khawbung,3,0,0,2,0,0,0,2,382
Hnahthial,Hnahthial,5,0,0,38,0,0,0,38,360
Khawzawl,Khawzawl,7,0,3,55,0,0,0,58,578
Kolasib,N. Thingdawl,7,0,0,86,0,0,0,86,477
Lawngtlai,Sangau,2,0,0,56,0,0,0,56,257
Lunglei,W. Bunghmun,2,0,0,0,0,0,0,0,153
Mamit,Zawlnuam,8,0,0,71,0,0,0,71,452
Saiha,Tuipang,1,0,1,29,0,0,0,30,169
Saitual,Phullen,5,0,0,24,0,0,0,24,460
Serchhip,Serchhip,12,0,0,145,0,0,0,145,910
