District,Block Name,Total Br,KCCsfor AH & Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisationn No.,Poultry No.,Fisheries No.,Godown No.,Clinic No.,Other No.,Total IC-Agri Disb. No.
Aizawl,Tlangnuam,95,814,2817.49,0,7,4,67,1,2,0,425,1320
Champhai,Khawbung,3,86,962.83,0,0,3,7,0,0,0,287,383
Hnahthial,Hnahthial,5,182,394.62,0,6,1,0,0,0,0,35,224
Khawzawl,Khawzawl,7,274,763.47,0,8,0,6,0,0,0,122,410
Kolasib,N. Thingdawl,7,182,935.75,0,5,0,49,0,0,0,204,440
Lawngtlai,Sangau,2,104,485.78,0,1,0,0,0,0,0,148,253
Lunglei,W. Bunghmun,2,126,187.37,0,1,0,0,0,0,0,12,139
Mamit,Zawlnuam,8,140,408.03,0,0,35,18,0,0,0,63,256
Saiha,Tuipang,1,106,238.61,0,0,0,3,0,0,0,55,164
Saitual,Phullen,5,222,642.20,0,2,0,92,2,0,0,111,429
Serchhip,Serchhip,12,382,1586.48,0,14,1,13,0,0,0,226,636
