District,Block Name,Total Br,Numberofoperative CASA,Numberof Aadhaarseeded CASA,Numberof Authenticated CASA
Aizawl,Tlangnuam,95,401825,266935,133652
Champhai,Khawbung,3,7663,5337,0
Hnahthial,Hnahthial,5,14675,9596,3609
Khawzawl,Khawzawl,7,17695,11929,2460
Kolasib,N. Thingdawl,7,27857,19412,329
Lawngtlai,Sangau,2,4896,3336,0
Lunglei,W. Bunghmun,2,3118,2487,0
Mamit,Zawlnuam,8,23626,13763,3621
Saiha,Tuipang,1,2486,1405,0
Saitual,Phullen,5,9805,6902,0
Serchhip,Serchhip,12,37458,27509,6576
