District,Block Name,Total Br,Sishu,Kishore,Tarun,Total MUDRA Disb
Aizawl,Tlangnuam,95,392,651,301,1344
Champhai,Khawbung,3,0,26,0,26
Hnahthial,Hnahthial,5,3,36,6,45
Khawzawl,Khawzawl,7,38,32,7,77
Kolasib,N. Thingdawl,7,13,36,28,77
Lawngtlai,Sangau,2,2,27,0,29
Lunglei,W. Bunghmun,2,9,35,0,44
Mamit,Zawlnuam,8,6,47,5,58
Saiha,Tuipang,1,11,36,0,47
Saitual,Phullen,5,7,87,1,95
Serchhip,Serchhip,12,11,46,8,65
