District,Total Br,Export No.,Amt,Education No.,Housing No.,Social Infra No.,Renewable No.,Others No.,TOTAL Other PS No.
Aizawl,106,0,1539.60,30,158,1,0,403,592
Champhai,16,0,161.04,0,26,0,0,0,26
Hnahthial,5,0,16.32,0,3,0,0,0,3
Khawzawl,7,0,38.59,0,5,0,0,0,5
Kolasib,18,0,203.06,0,23,1,0,126,150
Lawngtlai,12,0,432.60,0,115,0,0,3,118
Lunglei,19,0,383.53,1,49,1,0,0,51
Mamit,12,0,178.69,0,26,0,0,0,26
Saiha,6,0,1229.05,2,184,0,0,0,186
Saitual,10,0,14.43,0,4,0,0,0,4
Serchhip,15,0,192.29,1,25,0,0,0,26
